timestamp,gpu_name,gpu_usage,gpu_memory_usage,gpu_total_memory,gpu_memory_used,gpu_power_draw,gpu_max_power,gpu_temperature
2022-12-06 06:07:55.454,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.04 W,350.00 W,31
2022-12-06 06:07:56.455,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.64 W,350.00 W,31
2022-12-06 06:07:57.456,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.71 W,350.00 W,31
2022-12-06 06:07:58.457,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,47.89 W,350.00 W,33
2022-12-06 06:07:59.458,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.44 W,350.00 W,33
2022-12-06 06:08:00.459,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.64 W,350.00 W,34
2022-12-06 06:08:01.460,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.70 W,350.00 W,34
2022-12-06 06:08:02.461,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.77 W,350.00 W,34
2022-12-06 06:08:03.462,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.19 W,350.00 W,34
2022-12-06 06:08:04.463,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.35 W,350.00 W,34
2022-12-06 06:08:05.464,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.44 W,350.00 W,35
2022-12-06 06:08:06.464,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.41 W,350.00 W,35
2022-12-06 06:08:07.465,NVIDIA GeForce RTX 3090,19 %,8 %,24268 MiB,23657 MiB,118.39 W,350.00 W,35
2022-12-06 06:08:08.466,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,124.38 W,350.00 W,36
2022-12-06 06:08:09.467,NVIDIA GeForce RTX 3090,16 %,6 %,24268 MiB,23657 MiB,124.55 W,350.00 W,36
2022-12-06 06:08:10.468,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,124.96 W,350.00 W,36
2022-12-06 06:08:11.469,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,124.53 W,350.00 W,36
2022-12-06 06:08:12.470,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,124.81 W,350.00 W,37
2022-12-06 06:08:13.471,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,124.93 W,350.00 W,37
2022-12-06 06:08:14.472,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,125.68 W,350.00 W,37
2022-12-06 06:08:15.473,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,125.82 W,350.00 W,37
2022-12-06 06:08:16.474,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,125.39 W,350.00 W,37
2022-12-06 06:08:17.475,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,125.70 W,350.00 W,38
2022-12-06 06:08:18.476,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,120.98 W,350.00 W,38
2022-12-06 06:08:19.477,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,108.01 W,350.00 W,38
2022-12-06 06:08:20.478,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,113.11 W,350.00 W,38
2022-12-06 06:08:21.479,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,113.07 W,350.00 W,38
2022-12-06 06:08:22.480,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,113.20 W,350.00 W,38
2022-12-06 06:08:23.482,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,113.82 W,350.00 W,39
2022-12-06 06:08:24.483,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,113.53 W,350.00 W,39
2022-12-06 06:08:25.484,NVIDIA GeForce RTX 3090,6 %,2 %,24268 MiB,23657 MiB,113.47 W,350.00 W,39
2022-12-06 06:08:26.485,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,113.27 W,350.00 W,39
2022-12-06 06:08:27.485,NVIDIA GeForce RTX 3090,4 %,2 %,24268 MiB,23657 MiB,114.05 W,350.00 W,39
2022-12-06 06:08:28.486,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,114.08 W,350.00 W,39
2022-12-06 06:08:29.487,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,114.21 W,350.00 W,39
2022-12-06 06:08:30.488,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,113.90 W,350.00 W,40
2022-12-06 06:08:31.490,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,114.14 W,350.00 W,40
2022-12-06 06:08:32.491,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,114.38 W,350.00 W,40
2022-12-06 06:08:33.492,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,114.37 W,350.00 W,40
2022-12-06 06:08:34.493,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,114.19 W,350.00 W,40
2022-12-06 06:08:35.494,NVIDIA GeForce RTX 3090,4 %,2 %,24268 MiB,23657 MiB,113.91 W,350.00 W,40
2022-12-06 06:08:36.495,NVIDIA GeForce RTX 3090,16 %,7 %,24268 MiB,23657 MiB,120.11 W,350.00 W,41
2022-12-06 06:08:37.497,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,126.85 W,350.00 W,41
2022-12-06 06:08:38.498,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,127.38 W,350.00 W,41
2022-12-06 06:08:39.500,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,127.06 W,350.00 W,41
2022-12-06 06:08:40.501,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,127.29 W,350.00 W,42
2022-12-06 06:08:41.502,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,126.92 W,350.00 W,42
2022-12-06 06:08:42.503,NVIDIA GeForce RTX 3090,16 %,6 %,24268 MiB,23657 MiB,127.32 W,350.00 W,42
2022-12-06 06:08:43.504,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,127.86 W,350.00 W,42
2022-12-06 06:08:44.505,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,128.02 W,350.00 W,42
2022-12-06 06:08:45.506,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,127.69 W,350.00 W,43
2022-12-06 06:08:46.507,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,127.73 W,350.00 W,43
2022-12-06 06:08:47.508,NVIDIA GeForce RTX 3090,9 %,4 %,24268 MiB,23657 MiB,125.06 W,350.00 W,43
2022-12-06 06:08:48.510,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.54 W,350.00 W,43
2022-12-06 06:08:49.511,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.62 W,350.00 W,43
2022-12-06 06:08:50.512,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,116.32 W,350.00 W,43
2022-12-06 06:08:51.513,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.39 W,350.00 W,43
2022-12-06 06:08:52.515,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.94 W,350.00 W,43
2022-12-06 06:08:53.516,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.72 W,350.00 W,44
2022-12-06 06:08:54.517,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.71 W,350.00 W,44
2022-12-06 06:08:55.518,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,117.11 W,350.00 W,44
2022-12-06 06:08:56.520,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.81 W,350.00 W,44
2022-12-06 06:08:57.521,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,117.07 W,350.00 W,44
2022-12-06 06:08:58.522,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.86 W,350.00 W,44
2022-12-06 06:08:59.526,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.97 W,350.00 W,44
