timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2022-12-09T09:02:06.327366,0.0,13066.801,28.375
2022-12-09T09:02:07.336496,3.159,13067.055,28.375
2022-12-09T09:02:08.343726,3.197,13067.055,28.375
2022-12-09T09:02:09.350865,3.197,13067.055,28.375
2022-12-09T09:02:10.355391,3.234,13067.055,28.375
2022-12-09T09:02:11.361454,2.828,13068.766,28.375
2022-12-09T09:02:12.366211,3.203,13068.895,28.375
2022-12-09T09:02:13.373515,3.197,13068.895,28.375
2022-12-09T09:02:14.379225,3.138,13068.895,28.375
2022-12-09T09:02:15.386503,3.134,13068.898,28.375
2022-12-09T09:02:16.393639,2.391,13069.297,28.375
2022-12-09T09:02:17.400710,1.675,13071.328,28.375
2022-12-09T09:02:18.407911,3.103,13071.449,28.25
2022-12-09T09:02:19.415021,3.103,13071.605,28.25
2022-12-09T09:02:20.419717,3.109,13071.625,28.25
2022-12-09T09:02:21.426846,3.134,13071.676,28.25
2022-12-09T09:02:22.432945,3.169,13071.68,28.25
2022-12-09T09:02:23.440091,3.166,13071.68,28.25
2022-12-09T09:02:24.447122,3.134,13071.68,28.25
2022-12-09T09:02:25.454381,3.166,13071.68,28.25
2022-12-09T09:02:26.461583,3.103,13071.812,28.25
2022-12-09T09:02:27.468803,3.072,13072.477,28.25
2022-12-09T09:02:28.475214,4.75,13238.242,28.25
2022-12-09T09:02:29.479690,5.506,13190.395,28.25
2022-12-09T09:02:30.485869,5.528,13238.051,28.25
2022-12-09T09:02:31.491555,5.778,13232.141,28.25
2022-12-09T09:02:32.496024,5.725,13232.195,28.25
2022-12-09T09:02:33.500647,5.725,13244.215,28.25
2022-12-09T09:02:34.505375,5.659,13216.152,28.25
2022-12-09T09:02:35.510007,5.753,13249.926,28.25
2022-12-09T09:02:36.515252,5.75,13208.469,28.25
2022-12-09T09:02:37.521328,5.528,13256.301,28.25
2022-12-09T09:02:38.528604,5.741,13189.992,28.25
2022-12-09T09:02:39.533093,5.756,13244.984,28.25
2022-12-09T09:02:40.538288,5.691,13190.699,28.25
2022-12-09T09:02:41.544769,5.681,13238.031,28.25
2022-12-09T09:02:42.550625,5.469,13218.352,28.25
2022-12-09T09:02:43.555214,5.725,13219.961,28.25
2022-12-09T09:02:44.559666,5.662,13202.332,28.25
2022-12-09T09:02:45.567347,5.769,13196.258,28.25
2022-12-09T09:02:46.571236,5.728,13250.145,28.25
2022-12-09T09:02:47.575697,5.725,13268.086,28.25
2022-12-09T09:02:48.582448,3.447,13256.223,28.25
2022-12-09T09:02:49.586634,3.144,13256.223,28.25
2022-12-09T09:02:50.593844,3.197,13256.223,28.25
2022-12-09T09:02:51.601190,4.994,13256.758,28.25
2022-12-09T09:02:52.607235,7.425,13256.977,28.25
2022-12-09T09:02:53.611235,7.531,13256.879,28.25
2022-12-09T09:02:54.617044,7.425,13256.75,28.25
2022-12-09T09:02:55.622843,7.425,13256.75,28.25
2022-12-09T09:02:56.627239,7.497,13256.891,28.25
2022-12-09T09:02:57.631243,7.438,13256.891,28.25
2022-12-09T09:02:58.637160,7.55,13256.898,28.25
2022-12-09T09:02:59.642336,7.213,13256.898,28.25
2022-12-09T09:03:00.648457,7.394,13256.898,28.25
2022-12-09T09:03:01.654400,7.425,13257.016,28.25
2022-12-09T09:03:02.658402,4.95,13257.258,28.25
2022-12-09T09:03:03.665768,5.709,13251.422,28.25
2022-12-09T09:03:04.671994,5.653,13251.371,28.25
2022-12-09T09:03:05.679677,5.737,13263.531,28.25
2022-12-09T09:03:06.686235,5.744,13227.133,28.25
2022-12-09T09:03:07.690754,5.662,13209.461,28.25
2022-12-09T09:03:08.697991,5.678,13227.406,28.25
2022-12-09T09:03:09.702651,5.6,13215.387,28.25
2022-12-09T09:03:10.709708,5.647,13226.91,28.25
2022-12-09T09:03:11.717125,5.706,13233.344,28.25
2022-12-09T09:03:12.723196,5.559,13214.926,28.25
2022-12-09T09:03:13.727816,5.631,13244.938,28.25
2022-12-09T09:03:14.732405,5.816,13253.914,28.25
2022-12-09T09:03:15.739249,5.65,13215.262,28.25
2022-12-09T09:03:16.745279,5.684,13245.281,28.25
2022-12-09T09:03:17.751210,5.531,13233.082,28.25
2022-12-09T09:03:18.755653,5.725,13203.105,28.25
2022-12-09T09:03:19.763084,5.616,13227.359,28.25
2022-12-09T09:03:20.769264,5.466,13233.59,28.25
2022-12-09T09:03:21.775248,5.747,13239.145,28.25
2022-12-09T09:03:22.782354,6.828,13205.508,28.25
2022-12-09T09:03:23.787238,7.309,13205.914,28.25
2022-12-09T09:03:24.792989,7.581,13205.914,28.25
2022-12-09T09:03:25.798871,7.519,13205.828,28.25
2022-12-09T09:03:26.805899,7.138,13205.922,28.25
2022-12-09T09:03:27.818265,7.531,13205.922,28.25
2022-12-09T09:03:28.822765,7.622,13205.934,28.25
2022-12-09T09:03:29.828883,7.331,13205.934,28.25
2022-12-09T09:03:30.834699,7.394,13205.957,28.25
2022-12-09T09:03:31.838476,7.253,13205.957,28.25
2022-12-09T09:03:32.844397,6.897,13230.191,28.25
2022-12-09T09:03:33.851250,5.741,13271.773,28.25
2022-12-09T09:03:34.855841,5.694,13241.688,28.25
2022-12-09T09:03:35.863222,5.709,13283.82,28.25
2022-12-09T09:03:36.869565,5.528,13259.73,28.25
2022-12-09T09:03:37.876755,5.616,13247.746,28.25
2022-12-09T09:03:38.882597,5.653,13239.414,28.25
2022-12-09T09:03:39.887285,5.659,13230.066,28.25
2022-12-09T09:03:40.894575,5.584,13241.691,28.25
2022-12-09T09:03:41.901534,5.709,13235.941,28.25
2022-12-09T09:03:42.906079,5.662,13229.727,28.25
