timestamp,gpu_name,gpu_usage,gpu_memory_usage,gpu_total_memory,gpu_memory_used,gpu_power_draw,gpu_max_power,gpu_temperature
2022-12-06 07:55:07.115,NVIDIA GeForce RTX 3090,0 %,23 %,24268 MiB,23657 MiB,10.41 W,350.00 W,31
2022-12-06 07:55:08.117,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.53 W,350.00 W,31
2022-12-06 07:55:09.118,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.01 W,350.00 W,31
2022-12-06 07:55:10.120,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,67.72 W,350.00 W,33
2022-12-06 07:55:11.121,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,104.81 W,350.00 W,33
2022-12-06 07:55:12.122,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.08 W,350.00 W,34
2022-12-06 07:55:13.123,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.28 W,350.00 W,34
2022-12-06 07:55:14.124,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.24 W,350.00 W,34
2022-12-06 07:55:15.124,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.42 W,350.00 W,34
2022-12-06 07:55:16.125,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.82 W,350.00 W,34
2022-12-06 07:55:17.126,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.77 W,350.00 W,35
2022-12-06 07:55:18.127,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.94 W,350.00 W,35
2022-12-06 07:55:19.128,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.02 W,350.00 W,35
2022-12-06 07:55:20.129,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.25 W,350.00 W,35
2022-12-06 07:55:21.131,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.29 W,350.00 W,35
2022-12-06 07:55:22.132,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.59 W,350.00 W,36
2022-12-06 07:55:23.132,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.61 W,350.00 W,36
2022-12-06 07:55:24.134,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.61 W,350.00 W,36
2022-12-06 07:55:25.134,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.66 W,350.00 W,36
2022-12-06 07:55:26.135,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.86 W,350.00 W,36
2022-12-06 07:55:27.136,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.80 W,350.00 W,36
2022-12-06 07:55:28.137,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,107.04 W,350.00 W,37
2022-12-06 07:55:29.139,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.85 W,350.00 W,37
2022-12-06 07:55:30.140,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.89 W,350.00 W,37
