timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-03-09T01:39:26.481710,0.0,13149.035,28.75
2023-03-09T01:39:27.491679,3.219,13149.43,28.75
2023-03-09T01:39:28.496140,3.234,13055.262,29.125
2023-03-09T01:39:29.503240,2.328,13055.277,29.0
2023-03-09T01:39:30.510278,1.366,13055.305,29.0
2023-03-09T01:39:31.517291,2.856,12995.777,29.625
2023-03-09T01:39:32.524475,3.197,12995.781,29.5
2023-03-09T01:39:33.529135,4.075,13139.441,29.75
2023-03-09T01:39:34.536710,7.197,13175.148,29.75
2023-03-09T01:39:35.541320,7.062,13151.34,29.75
2023-03-09T01:39:36.548247,7.075,13151.211,29.75
2023-03-09T01:39:37.554573,7.05,13151.246,29.75
2023-03-09T01:39:38.562026,7.166,13163.137,29.75
2023-03-09T01:39:39.567698,7.022,13157.168,29.75
2023-03-09T01:39:40.573886,7.081,13163.254,29.75
2023-03-09T01:39:41.578332,7.062,13163.066,29.75
2023-03-09T01:39:42.584525,7.144,13158.52,29.75
2023-03-09T01:39:43.592222,7.041,13157.086,29.75
2023-03-09T01:39:44.596715,6.347,13157.16,29.75
2023-03-09T01:39:45.603054,3.228,13157.16,29.625
2023-03-09T01:39:46.610147,3.291,13157.16,29.25
2023-03-09T01:39:47.615685,3.294,13157.16,29.25
2023-03-09T01:39:48.623113,3.225,13157.293,29.25
2023-03-09T01:39:49.628733,6.681,13174.973,29.25
2023-03-09T01:39:50.634120,6.994,13151.16,29.25
2023-03-09T01:39:51.639703,6.931,13151.324,29.25
2023-03-09T01:39:52.646610,6.828,13163.297,29.375
2023-03-09T01:39:53.653436,7.106,13163.383,29.375
2023-03-09T01:39:54.659692,7.175,13163.352,29.375
2023-03-09T01:39:55.665959,6.737,13151.445,29.5
2023-03-09T01:39:56.671693,7.053,13157.293,29.5
2023-03-09T01:39:57.678060,6.956,13157.457,29.5
2023-03-09T01:39:58.684113,6.866,13157.246,29.5
2023-03-09T01:39:59.690283,7.019,13157.309,29.5
2023-03-09T01:40:00.693875,3.737,13157.422,29.5
2023-03-09T01:40:01.701403,3.288,13157.422,29.375
2023-03-09T01:40:02.708833,3.319,13157.422,29.25
2023-03-09T01:40:03.715723,4.75,13165.383,29.25
2023-03-09T01:40:04.722327,7.266,13163.469,29.25
2023-03-09T01:40:05.727168,6.966,13157.242,29.375
2023-03-09T01:40:06.733472,7.203,13151.512,29.375
2023-03-09T01:40:07.739754,7.081,13163.43,29.375
2023-03-09T01:40:08.743721,7.128,13157.016,29.5
2023-03-09T01:40:09.750310,6.737,13156.832,29.5
2023-03-09T01:40:10.755448,6.872,13145.672,29.5
2023-03-09T01:40:11.763130,6.916,13145.094,29.5
2023-03-09T01:40:12.769541,7.019,13156.879,29.5
2023-03-09T01:40:13.774251,7.184,13151.129,29.625
2023-03-09T01:40:14.778793,5.194,13151.309,29.5
2023-03-09T01:40:15.784623,3.294,13151.309,29.5
2023-03-09T01:40:16.790341,3.294,13151.309,29.5
2023-03-09T01:40:17.794717,3.766,13157.309,29.5
2023-03-09T01:40:18.800765,7.019,13157.309,29.5
2023-03-09T01:40:19.805254,7.25,13157.605,29.5
2023-03-09T01:40:20.809279,7.159,13151.523,29.5
2023-03-09T01:40:21.815144,7.022,13163.5,29.5
2023-03-09T01:40:22.819727,7.153,13163.129,29.5
2023-03-09T01:40:23.825995,7.112,13157.383,29.5
2023-03-09T01:40:24.831694,7.116,13157.305,29.5
2023-03-09T01:40:25.836759,6.997,13153.906,29.5
2023-03-09T01:40:26.842695,7.237,13151.332,29.5
2023-03-09T01:40:27.848784,6.834,13147.238,29.5
2023-03-09T01:40:28.853273,6.159,13145.406,29.5
2023-03-09T01:40:29.859418,3.353,13145.406,29.5
2023-03-09T01:40:30.866406,3.228,13145.406,29.5
2023-03-09T01:40:31.873486,3.291,13145.406,29.5
2023-03-09T01:40:32.879369,6.525,13151.195,29.5
2023-03-09T01:40:33.883699,7.312,13163.383,29.5
2023-03-09T01:40:34.887707,6.941,13163.375,29.625
2023-03-09T01:40:35.894339,7.016,13157.305,29.75
2023-03-09T01:40:36.899689,7.213,13157.387,29.75
2023-03-09T01:40:37.903695,7.097,13163.055,29.75
2023-03-09T01:40:38.909654,6.897,13162.766,29.75
2023-03-09T01:40:39.915693,6.959,13151.316,29.75
2023-03-09T01:40:40.919725,7.097,13169.203,29.75
2023-03-09T01:40:41.925953,7.081,13145.328,29.75
2023-03-09T01:40:42.930522,7.062,13151.289,29.75
2023-03-09T01:40:43.936065,3.325,13151.289,29.75
2023-03-09T01:40:44.940520,3.328,13151.289,29.75
2023-03-09T01:40:45.947766,3.288,13151.289,29.75
2023-03-09T01:40:46.954948,5.369,13151.363,29.75
2023-03-09T01:40:47.961144,6.741,13163.488,29.75
2023-03-09T01:40:48.967387,6.925,13151.477,29.75
2023-03-09T01:40:49.971730,7.031,13151.598,29.75
2023-03-09T01:40:50.978291,6.894,13163.148,29.75
2023-03-09T01:40:51.985121,6.828,13150.957,29.75
2023-03-09T01:40:52.991404,7.175,13169.379,29.875
2023-03-09T01:40:53.995702,7.281,13151.629,29.875
2023-03-09T01:40:55.002891,7.013,13163.406,30.0
2023-03-09T01:40:56.007694,6.812,13151.559,30.0
2023-03-09T01:40:57.011712,7.128,13163.484,30.0
2023-03-09T01:40:58.017728,5.0,13157.191,30.0
2023-03-09T01:40:59.024576,3.259,13157.191,30.0
2023-03-09T01:41:00.030327,3.2,13157.191,30.0
2023-03-09T01:41:01.037374,3.756,13163.414,30.0
2023-03-09T01:41:02.043861,6.894,13169.383,30.125
2023-03-09T01:41:03.049954,6.741,13157.383,30.125
2023-03-09T01:41:04.056519,6.984,13151.637,30.125
2023-03-09T01:41:05.062823,6.862,13145.402,30.125
2023-03-09T01:41:06.067539,7.216,13163.422,30.25
2023-03-09T01:41:07.071708,6.972,13151.484,30.25
2023-03-09T01:41:08.078157,7.019,13157.316,30.25
2023-03-09T01:41:09.085340,7.106,13157.422,30.25
2023-03-09T01:41:10.089855,7.031,13163.078,30.25
2023-03-09T01:41:11.094539,7.028,13175.359,30.25
2023-03-09T01:41:12.101018,6.334,13151.367,30.0
2023-03-09T01:41:13.105513,3.328,13151.367,30.0
2023-03-09T01:41:14.111137,3.294,13151.367,29.875
2023-03-09T01:41:15.117831,3.228,13151.367,29.75
2023-03-09T01:41:16.124190,6.209,13146.992,29.75
2023-03-09T01:41:17.130717,7.203,13151.207,29.75
2023-03-09T01:41:18.135326,7.062,13151.242,29.875
2023-03-09T01:41:19.141362,7.112,13151.352,29.875
2023-03-09T01:41:20.146651,7.025,13157.094,30.0
2023-03-09T01:41:21.151297,7.0,13151.312,30.0
2023-03-09T01:41:22.156988,6.991,13154.637,30.0
