timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/09 05:55:09.785, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 8.45 W, 350.00 W, 27
2023/03/09 05:55:10.789, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 31.22 W, 350.00 W, 30
2023/03/09 05:55:11.791, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.07 W, 350.00 W, 31
2023/03/09 05:55:12.792, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.31 W, 350.00 W, 31
2023/03/09 05:55:13.794, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.30 W, 350.00 W, 31
2023/03/09 05:55:14.795, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.37 W, 350.00 W, 32
2023/03/09 05:55:15.797, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.48 W, 350.00 W, 32
2023/03/09 05:55:16.799, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.51 W, 350.00 W, 32
2023/03/09 05:55:17.800, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 160.88 W, 350.00 W, 36
2023/03/09 05:55:18.808, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 257.29 W, 350.00 W, 37
2023/03/09 05:55:19.810, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 252.19 W, 350.00 W, 38
2023/03/09 05:55:20.811, NVIDIA GeForce RTX 3090, 49 %, 27 %, 24268 MiB, 23655 MiB, 250.92 W, 350.00 W, 39
2023/03/09 05:55:21.813, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 258.93 W, 350.00 W, 39
2023/03/09 05:55:22.815, NVIDIA GeForce RTX 3090, 52 %, 29 %, 24268 MiB, 23655 MiB, 257.51 W, 350.00 W, 40
2023/03/09 05:55:23.817, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 262.99 W, 350.00 W, 40
