timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-03-10T15:43:47.179954,0.0,12750.359,32.625
2023-03-10T15:43:48.187787,2.356,12732.594,32.75
2023-03-10T15:43:49.194648,1.397,12684.75,32.75
2023-03-10T15:43:50.199715,3.544,12834.043,33.125
2023-03-10T15:43:51.205905,5.869,12888.102,33.25
2023-03-10T15:43:52.212769,5.928,12888.031,33.25
2023-03-10T15:43:53.217376,5.816,12888.113,33.25
2023-03-10T15:43:54.221036,5.916,12858.266,33.25
2023-03-10T15:43:55.227153,5.778,12864.398,33.5
2023-03-10T15:43:56.232410,5.875,12884.82,33.5
2023-03-10T15:43:57.239664,5.862,12882.086,33.5
2023-03-10T15:43:58.246041,5.65,12878.121,33.625
2023-03-10T15:43:59.251708,5.872,12870.438,33.625
2023-03-10T15:44:00.255717,5.85,12894.328,33.625
2023-03-10T15:44:01.263089,5.831,12864.266,33.625
2023-03-10T15:44:02.267659,4.572,12840.727,33.625
2023-03-10T15:44:03.273922,1.741,12840.742,33.5
2023-03-10T15:44:04.279798,1.678,12840.742,33.5
2023-03-10T15:44:05.286798,1.706,12840.742,33.5
2023-03-10T15:44:06.293595,1.706,12840.742,33.375
2023-03-10T15:44:07.298775,4.912,12900.223,33.25
2023-03-10T15:44:08.305158,5.744,12870.031,33.25
2023-03-10T15:44:09.308898,5.978,12882.121,33.375
2023-03-10T15:44:10.314917,5.653,12894.094,33.5
2023-03-10T15:44:11.320039,5.753,12864.457,33.5
2023-03-10T15:44:12.326675,5.838,12888.285,33.5
2023-03-10T15:44:13.333897,5.584,12894.168,33.5
2023-03-10T15:44:14.339700,5.594,12849.141,33.5
2023-03-10T15:44:15.347270,5.925,12888.344,33.5
2023-03-10T15:44:16.353486,5.806,12888.613,33.5
2023-03-10T15:44:17.359558,5.716,12888.375,33.5
2023-03-10T15:44:18.365747,5.341,12870.324,33.5
2023-03-10T15:44:19.373125,1.738,12870.324,33.5
2023-03-10T15:44:20.378781,1.709,12870.324,33.5
2023-03-10T15:44:21.385457,1.706,12870.324,33.5
2023-03-10T15:44:22.392195,1.706,12870.324,33.375
2023-03-10T15:44:23.398556,5.062,12834.371,33.375
2023-03-10T15:44:24.404867,5.838,12798.684,33.375
2023-03-10T15:44:25.410975,5.716,12816.301,33.375
2023-03-10T15:44:26.417066,5.591,12834.508,33.5
2023-03-10T15:44:27.423681,5.588,12822.379,33.5
2023-03-10T15:44:28.431390,5.737,12852.348,33.5
2023-03-10T15:44:29.439006,5.644,12836.523,33.5
2023-03-10T15:44:30.445250,5.9,12815.008,33.5
2023-03-10T15:44:31.451409,5.716,12816.371,33.5
2023-03-10T15:44:32.455715,5.725,12834.16,33.5
2023-03-10T15:44:33.462856,5.741,12822.465,33.5
2023-03-10T15:44:34.469057,5.434,12822.75,33.5
2023-03-10T15:44:35.476449,1.738,12822.75,33.5
2023-03-10T15:44:36.483892,1.675,12822.75,33.5
2023-03-10T15:44:37.490775,1.675,12822.75,33.5
2023-03-10T15:44:38.497679,1.706,12822.75,33.375
2023-03-10T15:44:39.504988,5.334,12812.762,33.25
2023-03-10T15:44:40.511091,5.591,12828.688,33.5
2023-03-10T15:44:41.517276,5.622,12816.758,33.625
2023-03-10T15:44:42.523577,5.744,12870.398,33.625
2023-03-10T15:44:43.530384,5.4,12846.5,33.625
2023-03-10T15:44:44.535715,5.844,12840.5,33.625
2023-03-10T15:44:45.539692,5.759,12852.062,33.625
2023-03-10T15:44:46.546429,5.588,12828.465,33.625
2023-03-10T15:44:47.553061,5.525,12846.324,33.625
2023-03-10T15:44:48.559682,5.65,12849.699,33.75
2023-03-10T15:44:49.566778,5.678,12828.414,33.75
2023-03-10T15:44:50.572926,5.403,12846.758,33.75
2023-03-10T15:44:51.580120,1.675,12846.758,33.75
2023-03-10T15:44:52.587279,1.706,12846.758,33.5
2023-03-10T15:44:53.594601,1.706,12846.758,33.5
2023-03-10T15:44:54.601633,1.706,12846.758,33.5
2023-03-10T15:44:55.608798,5.056,12822.516,33.5
2023-03-10T15:44:56.613423,5.725,12822.586,33.5
2023-03-10T15:44:57.617952,5.569,12828.641,33.875
2023-03-10T15:44:58.624276,5.838,12822.52,33.875
2023-03-10T15:44:59.631546,5.647,12840.227,33.875
2023-03-10T15:45:00.638840,5.584,12828.441,33.875
2023-03-10T15:45:01.644991,5.747,12852.707,33.875
