timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/09 21:02:27.243, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 7.92 W, 350.00 W, 26
2023/03/09 21:02:28.247, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 7.58 W, 350.00 W, 26
2023/03/09 21:02:29.249, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 8.11 W, 350.00 W, 26
2023/03/09 21:02:30.252, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 7.99 W, 350.00 W, 26
2023/03/09 21:02:31.254, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 66.59 W, 350.00 W, 29
2023/03/09 21:02:32.256, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 104.46 W, 350.00 W, 30
2023/03/09 21:02:33.258, NVIDIA GeForce RTX 3090, 17 %, 13 %, 24268 MiB, 11135 MiB, 112.57 W, 350.00 W, 32
2023/03/09 21:02:34.259, NVIDIA GeForce RTX 3090, 73 %, 58 %, 24268 MiB, 11135 MiB, 307.48 W, 350.00 W, 37
2023/03/09 21:02:35.261, NVIDIA GeForce RTX 3090, 70 %, 55 %, 24268 MiB, 11135 MiB, 330.76 W, 350.00 W, 38
2023/03/09 21:02:36.263, NVIDIA GeForce RTX 3090, 64 %, 50 %, 24268 MiB, 11135 MiB, 327.51 W, 350.00 W, 39
2023/03/09 21:02:37.264, NVIDIA GeForce RTX 3090, 69 %, 54 %, 24268 MiB, 11135 MiB, 331.44 W, 350.00 W, 39
2023/03/09 21:02:38.266, NVIDIA GeForce RTX 3090, 66 %, 52 %, 24268 MiB, 11135 MiB, 330.79 W, 350.00 W, 41
2023/03/09 21:02:39.268, NVIDIA GeForce RTX 3090, 72 %, 57 %, 24268 MiB, 11135 MiB, 331.59 W, 350.00 W, 41
2023/03/09 21:02:40.270, NVIDIA GeForce RTX 3090, 70 %, 55 %, 24268 MiB, 11135 MiB, 333.43 W, 350.00 W, 42
2023/03/09 21:02:41.271, NVIDIA GeForce RTX 3090, 72 %, 57 %, 24268 MiB, 11135 MiB, 332.72 W, 350.00 W, 43
2023/03/09 21:02:42.273, NVIDIA GeForce RTX 3090, 68 %, 53 %, 24268 MiB, 11135 MiB, 331.84 W, 350.00 W, 43
2023/03/09 21:02:43.275, NVIDIA GeForce RTX 3090, 71 %, 56 %, 24268 MiB, 11135 MiB, 332.90 W, 350.00 W, 44
2023/03/09 21:02:44.276, NVIDIA GeForce RTX 3090, 71 %, 56 %, 24268 MiB, 11135 MiB, 332.45 W, 350.00 W, 44
2023/03/09 21:02:45.279, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 273.47 W, 350.00 W, 41
2023/03/09 21:02:46.280, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 341.89 W, 350.00 W, 45
2023/03/09 21:02:47.282, NVIDIA GeForce RTX 3090, 87 %, 67 %, 24268 MiB, 11135 MiB, 345.44 W, 350.00 W, 46
2023/03/09 21:02:48.284, NVIDIA GeForce RTX 3090, 86 %, 67 %, 24268 MiB, 11135 MiB, 345.22 W, 350.00 W, 47
2023/03/09 21:02:49.286, NVIDIA GeForce RTX 3090, 86 %, 67 %, 24268 MiB, 11135 MiB, 345.42 W, 350.00 W, 48
2023/03/09 21:02:50.288, NVIDIA GeForce RTX 3090, 71 %, 55 %, 24268 MiB, 11135 MiB, 312.02 W, 350.00 W, 48
2023/03/09 21:02:51.290, NVIDIA GeForce RTX 3090, 72 %, 57 %, 24268 MiB, 11135 MiB, 332.08 W, 350.00 W, 49
2023/03/09 21:02:52.292, NVIDIA GeForce RTX 3090, 67 %, 53 %, 24268 MiB, 11135 MiB, 328.59 W, 350.00 W, 48
2023/03/09 21:02:53.294, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 330.72 W, 350.00 W, 50
2023/03/09 21:02:54.296, NVIDIA GeForce RTX 3090, 71 %, 55 %, 24268 MiB, 11135 MiB, 332.00 W, 350.00 W, 50
2023/03/09 21:02:55.298, NVIDIA GeForce RTX 3090, 74 %, 58 %, 24268 MiB, 11135 MiB, 329.93 W, 350.00 W, 50
2023/03/09 21:02:56.299, NVIDIA GeForce RTX 3090, 74 %, 58 %, 24268 MiB, 11135 MiB, 330.10 W, 350.00 W, 51
2023/03/09 21:02:57.301, NVIDIA GeForce RTX 3090, 68 %, 53 %, 24268 MiB, 11135 MiB, 326.12 W, 350.00 W, 52
2023/03/09 21:02:58.303, NVIDIA GeForce RTX 3090, 75 %, 58 %, 24268 MiB, 11135 MiB, 333.26 W, 350.00 W, 52
2023/03/09 21:02:59.305, NVIDIA GeForce RTX 3090, 76 %, 59 %, 24268 MiB, 11135 MiB, 332.44 W, 350.00 W, 52
2023/03/09 21:03:00.307, NVIDIA GeForce RTX 3090, 75 %, 59 %, 24268 MiB, 11135 MiB, 333.85 W, 350.00 W, 53
2023/03/09 21:03:01.309, NVIDIA GeForce RTX 3090, 69 %, 53 %, 24268 MiB, 11135 MiB, 331.04 W, 350.00 W, 52
2023/03/09 21:03:02.318, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 343.64 W, 350.00 W, 54
2023/03/09 21:03:03.320, NVIDIA GeForce RTX 3090, 86 %, 67 %, 24268 MiB, 11135 MiB, 345.76 W, 350.00 W, 54
2023/03/09 21:03:04.322, NVIDIA GeForce RTX 3090, 87 %, 68 %, 24268 MiB, 11135 MiB, 344.71 W, 350.00 W, 54
2023/03/09 21:03:05.324, NVIDIA GeForce RTX 3090, 87 %, 68 %, 24268 MiB, 11135 MiB, 344.15 W, 350.00 W, 55
2023/03/09 21:03:06.326, NVIDIA GeForce RTX 3090, 75 %, 58 %, 24268 MiB, 11135 MiB, 323.33 W, 350.00 W, 55
2023/03/09 21:03:07.329, NVIDIA GeForce RTX 3090, 71 %, 56 %, 24268 MiB, 11135 MiB, 331.34 W, 350.00 W, 55
2023/03/09 21:03:08.331, NVIDIA GeForce RTX 3090, 70 %, 55 %, 24268 MiB, 11135 MiB, 329.82 W, 350.00 W, 56
2023/03/09 21:03:09.333, NVIDIA GeForce RTX 3090, 71 %, 55 %, 24268 MiB, 11135 MiB, 331.93 W, 350.00 W, 56
2023/03/09 21:03:10.335, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 333.94 W, 350.00 W, 56
2023/03/09 21:03:11.337, NVIDIA GeForce RTX 3090, 71 %, 56 %, 24268 MiB, 11135 MiB, 333.18 W, 350.00 W, 56
2023/03/09 21:03:12.339, NVIDIA GeForce RTX 3090, 69 %, 54 %, 24268 MiB, 11135 MiB, 328.49 W, 350.00 W, 57
2023/03/09 21:03:13.341, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 330.19 W, 350.00 W, 57
2023/03/09 21:03:14.344, NVIDIA GeForce RTX 3090, 73 %, 57 %, 24268 MiB, 11135 MiB, 333.01 W, 350.00 W, 57
2023/03/09 21:03:15.346, NVIDIA GeForce RTX 3090, 68 %, 53 %, 24268 MiB, 11135 MiB, 331.35 W, 350.00 W, 57
2023/03/09 21:03:16.348, NVIDIA GeForce RTX 3090, 73 %, 57 %, 24268 MiB, 11135 MiB, 330.71 W, 350.00 W, 58
2023/03/09 21:03:17.350, NVIDIA GeForce RTX 3090, 77 %, 60 %, 24268 MiB, 11135 MiB, 336.30 W, 350.00 W, 58
2023/03/09 21:03:18.353, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 347.27 W, 350.00 W, 58
