timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2022-12-08T02:00:29.789526,1.975,13780.301,29.0
2022-12-08T02:00:30.935301,4.654,13780.734,29.0
2022-12-08T02:00:32.070911,2.863,13792.805,29.0
2022-12-08T02:00:33.220651,3.696,13789.711,29.0
2022-12-08T02:00:34.402099,2.858,13789.719,29.0
2022-12-08T02:00:35.527340,3.258,13789.898,29.0
2022-12-08T02:00:36.695507,4.6,13789.902,30.0
2022-12-08T02:00:37.847016,4.45,13789.902,30.0
2022-12-08T02:00:38.966844,4.279,13789.902,30.0
2022-12-08T02:00:40.120239,4.408,13789.906,30.0
2022-12-08T02:00:41.237310,9.808,13789.98,30.0
2022-12-08T02:00:42.363961,11.058,13789.984,30.0
2022-12-08T02:00:43.471414,11.062,13789.984,30.0
2022-12-08T02:00:44.593628,11.25,13789.984,30.0
2022-12-08T02:00:45.731216,11.354,13789.984,30.0
2022-12-08T02:00:46.852585,11.296,13789.984,31.0
2022-12-08T02:00:47.980104,11.308,13789.984,31.0
2022-12-08T02:00:49.106470,11.133,13789.984,30.0
2022-12-08T02:00:50.228106,11.254,13789.984,30.0
2022-12-08T02:00:51.348664,11.229,13789.984,31.0
2022-12-08T02:00:52.475829,11.054,13789.984,30.0
2022-12-08T02:00:53.620147,11.142,13789.984,31.0
2022-12-08T02:00:54.746452,4.438,13790.02,30.0
2022-12-08T02:00:55.877547,8.25,13790.039,31.0
2022-12-08T02:00:57.000112,9.575,13789.926,31.0
2022-12-08T02:00:58.125400,9.629,13789.828,30.0
2022-12-08T02:00:59.254807,9.775,13789.836,31.0
2022-12-08T02:01:00.371866,9.733,13789.836,31.0
2022-12-08T02:01:01.496583,9.671,13789.844,31.0
2022-12-08T02:01:02.667211,9.754,13789.844,31.0
2022-12-08T02:01:03.809797,9.808,13789.844,31.0
2022-12-08T02:01:05.022219,9.725,13789.844,31.0
2022-12-08T02:01:06.156550,9.808,13789.844,31.0
2022-12-08T02:01:07.285061,9.858,13789.844,31.0
2022-12-08T02:01:08.419495,8.779,13789.797,31.0
2022-12-08T02:01:09.535899,10.075,13789.797,31.0
2022-12-08T02:01:10.671250,11.158,13789.797,31.0
2022-12-08T02:01:11.794798,11.162,13789.797,31.0
