timestamp,gpu_name,gpu_usage,gpu_memory_usage,gpu_total_memory,gpu_memory_used,gpu_power_draw,gpu_max_power,gpu_temperature
2022-12-07 21:35:01.694,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.35 W,350.00 W,31
2022-12-07 21:35:02.698,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.48 W,350.00 W,31
2022-12-07 21:35:03.699,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.08 W,350.00 W,31
2022-12-07 21:35:04.701,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.48 W,350.00 W,31
2022-12-07 21:35:05.702,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,53.13 W,350.00 W,34
2022-12-07 21:35:06.703,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.61 W,350.00 W,34
2022-12-07 21:35:07.704,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.62 W,350.00 W,34
2022-12-07 21:35:08.705,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.63 W,350.00 W,34
2022-12-07 21:35:09.706,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.81 W,350.00 W,35
2022-12-07 21:35:10.707,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.91 W,350.00 W,35
2022-12-07 21:35:11.708,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.06 W,350.00 W,35
2022-12-07 21:35:12.709,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.22 W,350.00 W,35
2022-12-07 21:35:13.710,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.31 W,350.00 W,35
2022-12-07 21:35:14.711,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.48 W,350.00 W,36
2022-12-07 21:35:15.712,NVIDIA GeForce RTX 3090,41 %,18 %,24268 MiB,23657 MiB,118.09 W,350.00 W,38
2022-12-07 21:35:16.713,NVIDIA GeForce RTX 3090,49 %,24 %,24268 MiB,23657 MiB,243.02 W,350.00 W,40
2022-12-07 21:35:17.717,NVIDIA GeForce RTX 3090,51 %,24 %,24268 MiB,23657 MiB,253.77 W,350.00 W,41
2022-12-07 21:35:18.718,NVIDIA GeForce RTX 3090,53 %,26 %,24268 MiB,23657 MiB,255.02 W,350.00 W,41
2022-12-07 21:35:19.719,NVIDIA GeForce RTX 3090,50 %,24 %,24268 MiB,23657 MiB,254.36 W,350.00 W,42
2022-12-07 21:35:20.720,NVIDIA GeForce RTX 3090,49 %,24 %,24268 MiB,23657 MiB,250.43 W,350.00 W,43
2022-12-07 21:35:21.721,NVIDIA GeForce RTX 3090,54 %,26 %,24268 MiB,23657 MiB,253.25 W,350.00 W,43
2022-12-07 21:35:22.722,NVIDIA GeForce RTX 3090,47 %,23 %,24268 MiB,23657 MiB,251.88 W,350.00 W,44
2022-12-07 21:35:23.724,NVIDIA GeForce RTX 3090,50 %,24 %,24268 MiB,23657 MiB,254.37 W,350.00 W,44
2022-12-07 21:35:24.725,NVIDIA GeForce RTX 3090,51 %,24 %,24268 MiB,23657 MiB,254.17 W,350.00 W,45
2022-12-07 21:35:25.726,NVIDIA GeForce RTX 3090,49 %,24 %,24268 MiB,23657 MiB,252.35 W,350.00 W,45
2022-12-07 21:35:26.727,NVIDIA GeForce RTX 3090,50 %,24 %,24268 MiB,23657 MiB,255.04 W,350.00 W,46
2022-12-07 21:35:27.728,NVIDIA GeForce RTX 3090,51 %,24 %,24268 MiB,23657 MiB,254.05 W,350.00 W,46
2022-12-07 21:35:28.729,NVIDIA GeForce RTX 3090,52 %,25 %,24268 MiB,23657 MiB,255.44 W,350.00 W,46
2022-12-07 21:35:29.730,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,142.81 W,350.00 W,44
2022-12-07 21:35:30.731,NVIDIA GeForce RTX 3090,23 %,10 %,24268 MiB,23657 MiB,147.84 W,350.00 W,44
2022-12-07 21:35:31.732,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,146.26 W,350.00 W,44
2022-12-07 21:35:32.733,NVIDIA GeForce RTX 3090,20 %,9 %,24268 MiB,23657 MiB,145.06 W,350.00 W,44
2022-12-07 21:35:33.735,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,145.13 W,350.00 W,44
2022-12-07 21:35:34.736,NVIDIA GeForce RTX 3090,24 %,11 %,24268 MiB,23657 MiB,146.67 W,350.00 W,45
2022-12-07 21:35:35.737,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,147.98 W,350.00 W,45
2022-12-07 21:35:36.739,NVIDIA GeForce RTX 3090,22 %,10 %,24268 MiB,23657 MiB,145.27 W,350.00 W,45
2022-12-07 21:35:37.740,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,146.76 W,350.00 W,46
2022-12-07 21:35:38.742,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,146.81 W,350.00 W,45
2022-12-07 21:35:39.745,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,145.52 W,350.00 W,46
2022-12-07 21:35:40.746,NVIDIA GeForce RTX 3090,23 %,10 %,24268 MiB,23657 MiB,147.05 W,350.00 W,46
2022-12-07 21:35:41.748,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,147.07 W,350.00 W,46
2022-12-07 21:35:42.749,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,147.21 W,350.00 W,46
2022-12-07 21:35:43.750,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,141.45 W,350.00 W,45
2022-12-07 21:35:44.751,NVIDIA GeForce RTX 3090,52 %,25 %,24268 MiB,23657 MiB,223.31 W,350.00 W,49
2022-12-07 21:35:45.753,NVIDIA GeForce RTX 3090,51 %,24 %,24268 MiB,23657 MiB,258.56 W,350.00 W,50
2022-12-07 21:35:46.754,NVIDIA GeForce RTX 3090,52 %,25 %,24268 MiB,23657 MiB,261.45 W,350.00 W,50
2022-12-07 21:35:47.755,NVIDIA GeForce RTX 3090,51 %,25 %,24268 MiB,23657 MiB,259.36 W,350.00 W,51
