timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-01-21T15:29:11.153124,0.0,12743.336,33.0
2023-01-21T15:29:12.163601,6.306,12749.008,60.5
2023-01-21T15:29:13.173581,2.106,12755.664,35.75
2023-01-21T15:29:14.183627,1.363,12756.582,30.75
2023-01-21T15:29:15.193839,1.425,12756.594,29.25
2023-01-21T15:29:16.204371,1.856,12756.609,60.25
2023-01-21T15:29:17.215101,1.05,12756.625,29.0
2023-01-21T15:29:18.225984,5.006,12756.809,56.5
2023-01-21T15:29:19.235903,17.206,12817.75,52.0
2023-01-21T15:29:20.246141,17.506,13039.668,40.25
2023-01-21T15:29:21.256289,17.45,13099.531,45.5
2023-01-21T15:29:22.266644,17.506,13081.07,35.0
2023-01-21T15:29:23.277174,17.688,13117.441,33.75
2023-01-21T15:29:24.287444,17.381,13057.551,39.0
2023-01-21T15:29:25.297694,17.444,13070.199,35.0
2023-01-21T15:29:26.308090,17.444,13074.34,40.5
2023-01-21T15:29:27.319442,12.606,13142.387,62.75
2023-01-21T15:29:28.328670,7.306,13142.387,32.0
2023-01-21T15:29:29.338887,7.3,13142.387,37.75
2023-01-21T15:29:30.348497,12.006,13046.484,39.25
2023-01-21T15:29:31.358721,17.137,13126.117,43.75
2023-01-21T15:29:32.368494,17.575,13148.348,38.25
2023-01-21T15:29:33.378642,17.45,13100.496,36.75
2023-01-21T15:29:34.388487,17.394,13040.371,35.0
2023-01-21T15:29:35.398800,17.2,13082.867,44.0
2023-01-21T15:29:36.408485,17.025,13088.672,34.25
2023-01-21T15:29:37.419001,17.506,13106.363,34.75
2023-01-21T15:29:38.429488,7.669,13106.402,33.0
2023-01-21T15:29:39.439565,7.175,13034.812,34.75
2023-01-21T15:29:40.449983,17.444,13094.586,41.0
2023-01-21T15:29:41.460486,17.625,13172.172,34.0
2023-01-21T15:29:42.470956,17.569,13165.027,38.0
2023-01-21T15:29:43.480630,17.456,13100.234,34.5
2023-01-21T15:29:44.491767,17.244,13076.562,51.25
2023-01-21T15:29:45.502354,17.506,13089.188,34.0
2023-01-21T15:29:46.512868,17.256,13130.754,35.25
2023-01-21T15:29:47.523096,13.55,13059.031,37.25
2023-01-21T15:29:48.533189,7.3,13059.031,31.5
2023-01-21T15:29:49.543357,9.525,13094.492,35.0
2023-01-21T15:29:50.554363,17.556,13160.457,33.25
2023-01-21T15:29:51.564490,17.756,13149.023,39.0
2023-01-21T15:29:52.574496,17.575,13082.492,39.25
2023-01-21T15:29:53.584481,17.512,13029.441,37.0
2023-01-21T15:29:54.594615,17.819,13064.734,50.5
2023-01-21T15:29:55.604479,17.144,13100.832,39.75
2023-01-21T15:29:56.614578,17.019,13161.402,38.75
2023-01-21T15:29:57.624786,9.406,13154.773,31.5
2023-01-21T15:29:58.634854,7.237,13154.766,30.75
2023-01-21T15:29:59.644488,16.219,13070.832,45.75
2023-01-21T15:30:00.654907,17.506,13061.781,33.75
2023-01-21T15:30:01.666093,17.306,13112.652,36.75
2023-01-21T15:30:02.676489,17.569,13100.836,36.0
2023-01-21T15:30:03.686753,17.012,13136.984,35.0
2023-01-21T15:30:04.696493,17.269,13184.246,35.0
2023-01-21T15:30:05.707094,17.381,13152.883,51.25
2023-01-21T15:30:06.717494,14.906,13172.543,40.25
2023-01-21T15:30:07.727373,7.056,13172.543,36.0
2023-01-21T15:30:08.737282,10.456,13250.711,40.75
2023-01-21T15:30:09.748805,17.363,13184.238,40.75
2023-01-21T15:30:10.758991,17.756,13142.496,37.25
2023-01-21T15:30:11.769078,17.262,13082.465,34.75
2023-01-21T15:30:12.779555,17.319,13062.648,48.5
2023-01-21T15:30:13.790841,17.494,13064.508,39.5
2023-01-21T15:30:14.800543,17.144,13112.695,37.75
2023-01-21T15:30:15.811179,17.375,13118.457,44.75
2023-01-21T15:30:16.820484,8.919,13100.328,34.75
2023-01-21T15:30:17.830432,7.3,13100.328,33.25
2023-01-21T15:30:18.840484,15.531,13040.48,46.25
2023-01-21T15:30:19.850579,17.45,13109.422,37.0
2023-01-21T15:30:20.860498,17.387,13088.508,38.0
2023-01-21T15:30:21.870738,17.131,13119.828,45.75
2023-01-21T15:30:22.880475,17.275,13082.395,38.75
2023-01-21T15:30:23.890504,17.512,13111.148,42.75
2023-01-21T15:30:24.900490,17.575,13190.27,46.75
2023-01-21T15:30:25.910892,13.05,13220.465,33.5
2023-01-21T15:30:26.920925,7.3,13220.465,31.75
2023-01-21T15:30:27.930940,11.569,13196.434,34.75
2023-01-21T15:30:28.940494,17.275,13196.668,38.5
2023-01-21T15:30:29.950980,16.825,13136.922,35.5
2023-01-21T15:30:30.961721,17.25,13190.41,38.75
2023-01-21T15:30:31.971743,17.325,13292.449,42.75
2023-01-21T15:30:32.982614,17.375,13202.934,46.25
2023-01-21T15:30:33.992493,17.144,13214.598,36.75
2023-01-21T15:30:35.003467,16.938,13220.707,36.75
2023-01-21T15:30:36.014037,9.031,13178.691,34.75
2023-01-21T15:30:37.024403,7.175,13178.691,32.0
2023-01-21T15:30:38.034308,14.975,13172.383,35.25
2023-01-21T15:30:39.044827,17.319,13160.703,38.75
2023-01-21T15:30:40.055176,16.95,13118.637,36.0
2023-01-21T15:30:41.064966,16.956,13190.883,46.25
2023-01-21T15:30:42.076183,17.244,13268.492,35.5
2023-01-21T15:30:43.086412,17.381,13178.086,36.25
2023-01-21T15:30:44.097615,17.181,13226.969,36.75
2023-01-21T15:30:45.108132,15.094,13142.906,37.25
2023-01-21T15:30:46.118088,7.119,13142.906,33.5
2023-01-21T15:30:47.128320,10.025,13118.926,35.0
2023-01-21T15:30:48.138843,17.194,13118.352,35.0
2023-01-21T15:30:49.148491,17.087,13142.078,49.0
2023-01-21T15:30:50.158655,16.894,13100.676,44.5
2023-01-21T15:30:51.168502,17.7,13124.699,40.25
2023-01-21T15:30:52.179748,17.369,13124.426,35.25
2023-01-21T15:30:53.191208,17.675,13238.727,35.5
2023-01-21T15:30:54.201679,17.194,13160.402,36.25
2023-01-21T15:30:55.212083,11.444,13028.828,33.0
2023-01-21T15:30:56.222654,7.237,13028.828,32.5
2023-01-21T15:30:57.232809,4.206,12838.637,56.5
2023-01-21T15:30:58.242699,6.25,12869.797,56.0
2023-01-21T15:30:59.252601,6.25,12907.832,56.0
2023-01-21T15:31:00.262859,9.4,12975.109,46.0
2023-01-21T15:31:01.276233,10.244,13291.336,50.0
2023-01-21T15:31:02.286155,5.075,13355.02,37.5
2023-01-21T15:31:03.296262,10.394,13475.082,35.25
2023-01-21T15:31:04.306750,10.394,13534.805,35.75
2023-01-21T15:31:05.316487,10.4,13516.828,34.25
2023-01-21T15:31:06.326779,10.394,13577.488,34.0
2023-01-21T15:31:07.337559,10.325,13547.32,35.5
2023-01-21T15:31:08.348483,10.387,13631.848,34.75
2023-01-21T15:31:09.358586,10.15,13577.383,36.5
2023-01-21T15:31:10.368838,10.331,13577.605,33.75
2023-01-21T15:31:11.379112,10.331,13571.391,35.5
2023-01-21T15:31:12.389585,10.331,13602.055,34.5
2023-01-21T15:31:13.399971,10.331,13644.32,36.0
2023-01-21T15:31:14.410345,10.206,13542.426,37.25
2023-01-21T15:31:15.420491,10.394,13566.215,35.5
2023-01-21T15:31:16.431013,10.331,13577.926,33.75
2023-01-21T15:31:17.440483,10.338,13655.973,35.0
2023-01-21T15:31:18.450614,10.331,13685.672,34.5
2023-01-21T15:31:19.460892,10.269,13590.32,37.0
2023-01-21T15:31:20.471360,10.144,13637.91,35.5
2023-01-21T15:31:21.482132,10.144,13602.062,34.5
2023-01-21T15:31:22.492437,10.331,13584.199,34.5
2023-01-21T15:31:23.502614,7.362,13606.168,37.0
2023-01-21T15:31:24.512518,7.487,13606.168,34.25
2023-01-21T15:31:25.523142,6.494,13616.469,64.5
2023-01-21T15:31:26.533053,10.275,13646.637,38.75
2023-01-21T15:31:27.543359,10.206,13640.625,35.0
2023-01-21T15:31:28.553756,10.394,13586.578,34.0
2023-01-21T15:31:29.564487,10.387,13610.566,34.25
2023-01-21T15:31:30.574659,10.269,13664.617,39.5
2023-01-21T15:31:31.585196,10.331,13646.641,38.75
2023-01-21T15:31:32.595428,10.206,13628.953,35.0
2023-01-21T15:31:33.605838,10.206,13592.84,49.5
2023-01-21T15:31:34.616099,10.081,13485.066,37.75
2023-01-21T15:31:35.626322,10.581,13647.484,36.5
2023-01-21T15:31:36.636484,10.206,13562.695,35.25
2023-01-21T15:31:37.646604,10.331,13622.602,34.5
2023-01-21T15:31:38.656716,10.269,13586.363,34.25
2023-01-21T15:31:39.667108,10.019,13604.461,36.25
2023-01-21T15:31:40.676492,10.281,13610.828,33.75
2023-01-21T15:31:41.686701,9.963,13580.695,34.75
2023-01-21T15:31:42.696498,10.213,13604.863,36.25
2023-01-21T15:31:43.706687,10.394,13706.883,34.75
2023-01-21T15:31:44.716496,10.025,13617.133,34.75
2023-01-21T15:31:45.726777,10.331,13706.879,35.75
2023-01-21T15:31:46.736485,7.737,13713.078,33.25
2023-01-21T15:31:47.746629,7.3,13713.078,45.25
2023-01-21T15:31:48.756491,9.281,13629.098,36.0
2023-01-21T15:31:49.766919,10.019,13652.637,37.5
2023-01-21T15:31:50.777024,10.269,13664.836,35.25
2023-01-21T15:31:51.787274,10.144,13766.672,35.5
2023-01-21T15:31:52.797765,10.269,13767.172,35.0
2023-01-21T15:31:53.808222,10.144,13712.887,36.25
2023-01-21T15:31:54.818900,10.325,13682.891,36.25
2023-01-21T15:31:55.828479,10.4,13694.703,35.0
2023-01-21T15:31:56.838518,10.269,13676.77,40.75
2023-01-21T15:31:57.848898,10.331,13671.191,51.25
2023-01-21T15:31:58.858898,10.331,13670.988,37.5
2023-01-21T15:31:59.868477,9.969,13634.844,36.0
2023-01-21T15:32:00.878955,10.206,13641.141,38.25
2023-01-21T15:32:01.888481,10.156,13569.145,34.5
2023-01-21T15:32:02.898664,10.269,13623.129,48.25
2023-01-21T15:32:03.908512,10.088,13521.375,34.5
2023-01-21T15:32:04.918862,10.331,13712.516,39.25
2023-01-21T15:32:05.928481,10.213,13670.836,34.5
2023-01-21T15:32:06.938678,10.331,13653.004,38.75
2023-01-21T15:32:07.948497,10.275,13598.773,37.75
2023-01-21T15:32:08.958836,8.537,13628.609,37.0
2023-01-21T15:32:09.968454,7.244,13628.609,34.5
2023-01-21T15:32:10.978338,8.725,13575.047,34.75
2023-01-21T15:32:11.988508,10.144,13688.965,36.25
2023-01-21T15:32:12.998764,10.081,13640.648,36.25
2023-01-21T15:32:14.008494,10.338,13682.633,35.0
2023-01-21T15:32:15.018869,10.331,13628.68,36.75
2023-01-21T15:32:16.029809,10.262,13706.824,35.25
2023-01-21T15:32:17.039954,10.269,13653.152,34.5
2023-01-21T15:32:18.050269,10.331,13592.969,34.75
2023-01-21T15:32:19.060385,10.269,13622.922,36.25
2023-01-21T15:32:20.070384,10.331,13683.031,35.0
2023-01-21T15:32:21.080466,10.269,13598.727,34.75
2023-01-21T15:32:22.090597,10.331,13604.539,37.75
2023-01-21T15:32:23.100745,10.269,13694.777,35.5
2023-01-21T15:32:24.110867,10.15,13712.922,43.25
2023-01-21T15:32:25.120483,10.15,13700.617,35.0
2023-01-21T15:32:26.130605,10.206,13695.133,35.5
2023-01-21T15:32:27.140902,10.331,13622.922,35.5
2023-01-21T15:32:28.151149,10.144,13671.195,36.0
2023-01-21T15:32:29.160483,10.219,13700.754,36.25
2023-01-21T15:32:30.170608,10.15,13653.406,38.5
2023-01-21T15:32:31.181143,9.275,13755.09,33.75
2023-01-21T15:32:32.191067,7.244,13755.09,33.5
2023-01-21T15:32:33.200486,8.175,13743.203,38.25
2023-01-21T15:32:34.210273,9.963,13748.961,37.25
2023-01-21T15:32:35.220494,10.269,13724.914,36.0
2023-01-21T15:32:36.230908,10.144,13574.781,34.5
2023-01-21T15:32:37.240492,10.338,13712.82,38.5
2023-01-21T15:32:38.250769,10.269,13731.035,35.0
2023-01-21T15:32:39.260484,10.15,13604.863,35.25
2023-01-21T15:32:40.270646,10.144,13647.176,39.5
2023-01-21T15:32:41.281056,10.269,13622.84,34.75
2023-01-21T15:32:42.291313,10.144,13648.191,37.25
2023-01-21T15:32:43.301566,10.269,13742.578,41.0
2023-01-21T15:32:44.311654,10.213,13628.164,36.0
2023-01-21T15:32:45.322013,10.144,13606.152,38.75
2023-01-21T15:32:46.332389,10.144,13646.574,44.25
2023-01-21T15:32:47.342401,10.088,13610.855,35.75
2023-01-21T15:32:48.352631,10.269,13592.613,35.25
2023-01-21T15:32:49.363056,10.206,13616.441,36.0
2023-01-21T15:32:50.372493,10.219,13670.695,35.25
2023-01-21T15:32:51.382865,10.269,13700.68,35.25
2023-01-21T15:32:52.392962,10.15,13700.742,36.25
2023-01-21T15:32:53.403146,9.9,13700.684,35.75
2023-01-21T15:32:54.412462,7.181,13700.684,34.5
2023-01-21T15:32:55.422785,6.869,13700.73,35.25
