timestamp,gpu_name,gpu_usage,gpu_memory_usage,gpu_total_memory,gpu_memory_used,gpu_power_draw,gpu_max_power,gpu_temperature
2023-01-27 13:20:54.431,NVIDIA GeForce RTX 3070,1 %,12 %,8192 MiB,7091 MiB,23.54 W,240.00 W,37
2023-01-27 13:20:55.434,NVIDIA GeForce RTX 3070,0 %,2 %,8192 MiB,7091 MiB,23.31 W,240.00 W,37
2023-01-27 13:20:56.437,NVIDIA GeForce RTX 3070,0 %,3 %,8192 MiB,7091 MiB,23.11 W,240.00 W,37
2023-01-27 13:20:57.439,NVIDIA GeForce RTX 3070,1 %,12 %,8192 MiB,7091 MiB,23.03 W,240.00 W,37
2023-01-27 13:20:58.442,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7091 MiB,44.80 W,240.00 W,39
2023-01-27 13:20:59.444,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7091 MiB,54.54 W,240.00 W,39
2023-01-27 13:21:00.445,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7091 MiB,54.49 W,240.00 W,39
2023-01-27 13:21:01.446,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7091 MiB,54.40 W,240.00 W,39
2023-01-27 13:21:02.448,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7091 MiB,54.43 W,240.00 W,39
2023-01-27 13:21:03.449,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7091 MiB,54.51 W,240.00 W,39
2023-01-27 13:21:04.451,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7091 MiB,54.55 W,240.00 W,39
2023-01-27 13:21:05.452,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7091 MiB,54.58 W,240.00 W,39
2023-01-27 13:21:06.453,NVIDIA GeForce RTX 3070,2 %,1 %,8192 MiB,7091 MiB,54.80 W,240.00 W,40
2023-01-27 13:21:07.454,NVIDIA GeForce RTX 3070,40 %,25 %,8192 MiB,7091 MiB,77.00 W,240.00 W,42
2023-01-27 13:21:08.455,NVIDIA GeForce RTX 3070,37 %,23 %,8192 MiB,7091 MiB,87.12 W,240.00 W,43
2023-01-27 13:21:09.456,NVIDIA GeForce RTX 3070,41 %,25 %,8192 MiB,7091 MiB,94.58 W,240.00 W,43
2023-01-27 13:21:10.456,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,100.10 W,240.00 W,44
2023-01-27 13:21:11.457,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,99.54 W,240.00 W,44
2023-01-27 13:21:12.458,NVIDIA GeForce RTX 3070,38 %,24 %,8192 MiB,7091 MiB,96.32 W,240.00 W,44
2023-01-27 13:21:13.458,NVIDIA GeForce RTX 3070,38 %,24 %,8192 MiB,7091 MiB,95.68 W,240.00 W,44
2023-01-27 13:21:14.459,NVIDIA GeForce RTX 3070,37 %,23 %,8192 MiB,7091 MiB,98.09 W,240.00 W,44
2023-01-27 13:21:15.460,NVIDIA GeForce RTX 3070,60 %,43 %,8192 MiB,7091 MiB,97.19 W,240.00 W,47
2023-01-27 13:21:16.460,NVIDIA GeForce RTX 3070,58 %,42 %,8192 MiB,7091 MiB,125.58 W,240.00 W,48
2023-01-27 13:21:17.461,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,108.07 W,240.00 W,46
2023-01-27 13:21:18.462,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,100.70 W,240.00 W,46
2023-01-27 13:21:19.463,NVIDIA GeForce RTX 3070,37 %,24 %,8192 MiB,7091 MiB,101.28 W,240.00 W,47
2023-01-27 13:21:20.463,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,100.27 W,240.00 W,47
2023-01-27 13:21:21.464,NVIDIA GeForce RTX 3070,40 %,26 %,8192 MiB,7091 MiB,98.49 W,240.00 W,46
2023-01-27 13:21:22.465,NVIDIA GeForce RTX 3070,37 %,24 %,8192 MiB,7091 MiB,100.10 W,240.00 W,47
2023-01-27 13:21:23.466,NVIDIA GeForce RTX 3070,40 %,25 %,8192 MiB,7091 MiB,100.77 W,240.00 W,47
2023-01-27 13:21:24.467,NVIDIA GeForce RTX 3070,38 %,25 %,8192 MiB,7091 MiB,98.47 W,240.00 W,47
2023-01-27 13:21:25.468,NVIDIA GeForce RTX 3070,58 %,41 %,8192 MiB,7091 MiB,106.63 W,240.00 W,49
2023-01-27 13:21:26.470,NVIDIA GeForce RTX 3070,61 %,44 %,8192 MiB,7091 MiB,126.28 W,240.00 W,50
2023-01-27 13:21:27.470,NVIDIA GeForce RTX 3070,39 %,25 %,8192 MiB,7091 MiB,110.00 W,240.00 W,48
2023-01-27 13:21:28.471,NVIDIA GeForce RTX 3070,40 %,25 %,8192 MiB,7091 MiB,100.57 W,240.00 W,48
2023-01-27 13:21:29.472,NVIDIA GeForce RTX 3070,37 %,23 %,8192 MiB,7091 MiB,97.29 W,240.00 W,48
2023-01-27 13:21:30.473,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,89.74 W,240.00 W,47
2023-01-27 13:21:31.474,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,86.34 W,240.00 W,48
2023-01-27 13:21:32.475,NVIDIA GeForce RTX 3070,41 %,25 %,8192 MiB,7091 MiB,84.37 W,240.00 W,48
2023-01-27 13:21:33.476,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,98.39 W,240.00 W,49
2023-01-27 13:21:34.477,NVIDIA GeForce RTX 3070,35 %,22 %,8192 MiB,7091 MiB,100.00 W,240.00 W,49
2023-01-27 13:21:35.478,NVIDIA GeForce RTX 3070,62 %,45 %,8192 MiB,7091 MiB,108.74 W,240.00 W,52
2023-01-27 13:21:36.479,NVIDIA GeForce RTX 3070,58 %,42 %,8192 MiB,7091 MiB,128.92 W,240.00 W,52
2023-01-27 13:21:37.480,NVIDIA GeForce RTX 3070,40 %,25 %,8192 MiB,7091 MiB,108.29 W,240.00 W,50
2023-01-27 13:21:38.481,NVIDIA GeForce RTX 3070,41 %,26 %,8192 MiB,7091 MiB,101.93 W,240.00 W,50
2023-01-27 13:21:39.482,NVIDIA GeForce RTX 3070,39 %,25 %,8192 MiB,7091 MiB,101.55 W,240.00 W,51
2023-01-27 13:21:40.483,NVIDIA GeForce RTX 3070,36 %,23 %,8192 MiB,7091 MiB,99.51 W,240.00 W,50
2023-01-27 13:21:41.484,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,101.18 W,240.00 W,51
2023-01-27 13:21:42.485,NVIDIA GeForce RTX 3070,38 %,24 %,8192 MiB,7091 MiB,100.77 W,240.00 W,51
2023-01-27 13:21:43.486,NVIDIA GeForce RTX 3070,40 %,25 %,8192 MiB,7091 MiB,101.16 W,240.00 W,51
2023-01-27 13:21:44.487,NVIDIA GeForce RTX 3070,40 %,25 %,8192 MiB,7091 MiB,103.60 W,240.00 W,52
2023-01-27 13:21:45.488,NVIDIA GeForce RTX 3070,59 %,42 %,8192 MiB,7091 MiB,118.86 W,240.00 W,54
2023-01-27 13:21:46.489,NVIDIA GeForce RTX 3070,55 %,40 %,8192 MiB,7091 MiB,124.86 W,240.00 W,54
2023-01-27 13:21:47.490,NVIDIA GeForce RTX 3070,38 %,24 %,8192 MiB,7091 MiB,107.98 W,240.00 W,52
2023-01-27 13:21:48.491,NVIDIA GeForce RTX 3070,41 %,26 %,8192 MiB,7091 MiB,102.67 W,240.00 W,52
2023-01-27 13:21:49.492,NVIDIA GeForce RTX 3070,37 %,24 %,8192 MiB,7091 MiB,102.39 W,240.00 W,52
2023-01-27 13:21:50.493,NVIDIA GeForce RTX 3070,40 %,25 %,8192 MiB,7091 MiB,100.74 W,240.00 W,52
2023-01-27 13:21:51.494,NVIDIA GeForce RTX 3070,40 %,25 %,8192 MiB,7091 MiB,97.60 W,240.00 W,52
2023-01-27 13:21:52.495,NVIDIA GeForce RTX 3070,39 %,24 %,8192 MiB,7091 MiB,103.25 W,240.00 W,52
2023-01-27 13:21:53.496,NVIDIA GeForce RTX 3070,39 %,25 %,8192 MiB,7091 MiB,103.68 W,240.00 W,52
2023-01-27 13:21:54.497,NVIDIA GeForce RTX 3070,38 %,25 %,8192 MiB,7091 MiB,103.93 W,240.00 W,52
2023-01-27 13:21:55.498,NVIDIA GeForce RTX 3070,53 %,38 %,8192 MiB,7091 MiB,117.79 W,240.00 W,53
2023-01-27 13:21:56.499,NVIDIA GeForce RTX 3070,53 %,38 %,8192 MiB,7091 MiB,125.40 W,240.00 W,53
2023-01-27 13:21:57.500,NVIDIA GeForce RTX 3070,36 %,22 %,8192 MiB,7091 MiB,107.76 W,240.00 W,52
