timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/02/21 08:47:47.434, NVIDIA GeForce RTX 3070, 0 %, 46 %, 8192 MiB, 7348 MiB, 22.82 W, 240.00 W, 40
2023/02/21 08:47:48.439, NVIDIA GeForce RTX 3070, 0 %, 54 %, 8192 MiB, 7348 MiB, 22.87 W, 240.00 W, 40
2023/02/21 08:47:49.443, NVIDIA GeForce RTX 3070, 0 %, 26 %, 8192 MiB, 7348 MiB, 23.16 W, 240.00 W, 40
2023/02/21 08:47:50.447, NVIDIA GeForce RTX 3070, 0 %, 42 %, 8192 MiB, 7348 MiB, 23.44 W, 240.00 W, 40
2023/02/21 08:47:51.451, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7348 MiB, 40.58 W, 240.00 W, 42
2023/02/21 08:47:52.452, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7348 MiB, 54.97 W, 240.00 W, 42
2023/02/21 08:47:53.454, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7348 MiB, 55.03 W, 240.00 W, 42
2023/02/21 08:47:54.456, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7348 MiB, 55.11 W, 240.00 W, 42
2023/02/21 08:47:55.458, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7348 MiB, 55.20 W, 240.00 W, 42
2023/02/21 08:47:56.460, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7348 MiB, 55.16 W, 240.00 W, 42
2023/02/21 08:47:57.462, NVIDIA GeForce RTX 3070, 30 %, 19 %, 8192 MiB, 7348 MiB, 58.39 W, 240.00 W, 44
2023/02/21 08:47:58.463, NVIDIA GeForce RTX 3070, 51 %, 33 %, 8192 MiB, 7348 MiB, 104.33 W, 240.00 W, 47
2023/02/21 08:47:59.465, NVIDIA GeForce RTX 3070, 47 %, 31 %, 8192 MiB, 7348 MiB, 111.75 W, 240.00 W, 48
2023/02/21 08:48:00.467, NVIDIA GeForce RTX 3070, 49 %, 32 %, 8192 MiB, 7348 MiB, 112.30 W, 240.00 W, 48
2023/02/21 08:48:01.469, NVIDIA GeForce RTX 3070, 50 %, 33 %, 8192 MiB, 7348 MiB, 111.55 W, 240.00 W, 48
2023/02/21 08:48:02.470, NVIDIA GeForce RTX 3070, 50 %, 33 %, 8192 MiB, 7348 MiB, 111.51 W, 240.00 W, 49
2023/02/21 08:48:03.472, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7348 MiB, 103.47 W, 240.00 W, 46
2023/02/21 08:48:04.474, NVIDIA GeForce RTX 3070, 74 %, 55 %, 8192 MiB, 7348 MiB, 120.69 W, 240.00 W, 52
