timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-02-20T15:35:12.400418,5.169,18004.699,49.5
2023-02-20T15:35:13.411217,6.369,18004.801,60.25
2023-02-20T15:35:14.421238,6.312,18004.801,60.25
2023-02-20T15:35:15.431215,6.375,18004.801,54.25
2023-02-20T15:35:16.441212,6.375,18004.801,60.25
2023-02-20T15:35:17.451296,6.25,18004.801,62.75
2023-02-20T15:35:18.461013,3.156,18004.801,37.5
2023-02-20T15:35:19.471219,2.163,18004.805,49.0
2023-02-20T15:35:20.481228,1.488,18004.82,32.5
2023-02-20T15:35:21.491766,1.981,18004.836,59.5
2023-02-20T15:35:22.501712,1.794,18004.902,58.5
2023-02-20T15:35:23.511689,6.312,18004.902,59.25
2023-02-20T15:35:24.521653,6.25,18004.902,61.25
2023-02-20T15:35:25.531650,6.375,18004.902,57.0
2023-02-20T15:35:26.541627,6.25,18004.902,59.5
2023-02-20T15:35:27.551625,6.375,18004.902,61.25
2023-02-20T15:35:28.561658,16.212,18398.73,39.5
2023-02-20T15:35:29.571724,10.581,18725.566,36.25
2023-02-20T15:35:30.582136,10.575,18761.465,58.25
2023-02-20T15:35:31.592174,10.275,18764.672,37.0
2023-02-20T15:35:32.602148,10.331,18854.715,40.0
2023-02-20T15:35:33.612747,10.637,18802.832,45.5
2023-02-20T15:35:34.622119,9.969,18812.867,53.75
2023-02-20T15:35:35.632380,9.65,18951.062,42.5
2023-02-20T15:35:36.642103,10.025,18758.953,51.5
2023-02-20T15:35:37.652108,10.213,18821.027,46.75
2023-02-20T15:35:38.662103,9.9,18837.285,58.75
2023-02-20T15:35:39.672200,10.331,18686.953,38.0
2023-02-20T15:35:40.682116,10.15,18864.273,40.5
2023-02-20T15:35:41.692433,9.713,19118.59,40.5
2023-02-20T15:35:42.702120,9.969,19100.719,43.75
2023-02-20T15:35:43.712435,7.237,19022.996,59.25
2023-02-20T15:35:44.722118,6.312,19022.996,62.75
2023-02-20T15:35:45.732184,5.694,19022.996,34.5
2023-02-20T15:35:46.742094,5.506,19023.0,35.5
2023-02-20T15:35:47.752157,5.319,19023.0,35.25
2023-02-20T15:35:48.762161,5.506,19023.0,34.0
2023-02-20T15:35:49.772267,8.912,18915.188,40.0
2023-02-20T15:35:50.782116,10.338,18903.543,37.75
2023-02-20T15:35:51.792559,10.081,19059.172,42.75
2023-02-20T15:35:52.802110,10.15,19053.293,36.75
2023-02-20T15:35:53.812602,9.463,19131.348,45.0
2023-02-20T15:35:54.822110,9.475,18777.23,39.75
2023-02-20T15:35:55.832256,10.206,18975.117,43.25
2023-02-20T15:35:56.842108,10.275,18824.934,37.25
2023-02-20T15:35:57.852687,9.706,18886.57,56.25
2023-02-20T15:35:58.862111,10.4,19154.629,38.25
2023-02-20T15:35:59.872476,10.019,19064.906,38.75
2023-02-20T15:36:00.882666,10.644,18933.016,39.0
2023-02-20T15:36:01.893048,10.575,18855.359,38.75
2023-02-20T15:36:02.903128,9.963,18938.953,41.75
2023-02-20T15:36:03.913553,8.35,19047.117,35.5
2023-02-20T15:36:04.924051,6.125,19047.125,36.0
2023-02-20T15:36:05.934106,6.0,19047.125,36.0
2023-02-20T15:36:06.944562,6.062,19047.125,35.75
2023-02-20T15:36:07.954110,6.994,18933.246,61.25
2023-02-20T15:36:08.964140,9.9,19203.344,41.0
2023-02-20T15:36:09.974108,9.963,18925.301,38.5
2023-02-20T15:36:10.984220,10.706,18921.0,61.0
2023-02-20T15:36:11.994107,10.338,18796.859,42.5
2023-02-20T15:36:13.004252,9.775,18981.32,40.25
2023-02-20T15:36:14.014108,10.088,19059.223,55.25
2023-02-20T15:36:15.024319,10.331,18981.52,38.0
2023-02-20T15:36:16.034139,10.463,18747.668,39.0
2023-02-20T15:36:17.044647,10.512,18987.57,59.25
2023-02-20T15:36:18.055299,9.956,18847.426,61.75
2023-02-20T15:36:19.065475,10.637,18861.246,55.75
2023-02-20T15:36:20.076092,9.831,19005.152,40.5
2023-02-20T15:36:21.086373,10.025,18825.449,40.5
2023-02-20T15:36:22.096933,9.213,19089.059,37.5
2023-02-20T15:36:23.107124,5.2,19089.105,39.25
2023-02-20T15:36:24.117197,5.263,19089.105,37.5
2023-02-20T15:36:25.127160,5.2,19089.105,36.75
2023-02-20T15:36:26.137357,6.062,18867.281,42.25
2023-02-20T15:36:27.147983,10.081,19013.605,66.5
2023-02-20T15:36:28.158170,9.963,18758.312,40.75
2023-02-20T15:36:29.168211,10.15,18909.207,63.5
2023-02-20T15:36:30.178112,10.581,18985.992,61.25
2023-02-20T15:36:31.188136,9.838,19059.137,53.0
2023-02-20T15:36:32.198104,9.775,19023.172,56.25
2023-02-20T15:36:33.208039,9.963,19208.793,45.75
2023-02-20T15:36:34.218093,9.594,18969.02,49.75
2023-02-20T15:36:35.228186,9.838,19143.285,39.75
2023-02-20T15:36:36.238112,9.775,18933.27,45.5
2023-02-20T15:36:37.248185,10.269,18747.406,46.75
2023-02-20T15:36:38.258107,9.531,18873.379,39.75
2023-02-20T15:36:39.268228,9.963,18949.754,46.0
2023-02-20T15:36:40.278113,9.781,18825.301,39.5
2023-02-20T15:36:41.288479,6.494,18879.227,35.25
2023-02-20T15:36:42.298491,5.506,18879.227,40.25
2023-02-20T15:36:43.308432,5.631,18879.227,36.0
2023-02-20T15:36:44.318096,5.631,18879.227,43.0
2023-02-20T15:36:45.328008,8.294,18981.09,51.5
2023-02-20T15:36:46.338107,9.9,18969.059,51.75
2023-02-20T15:36:47.348309,9.65,19046.879,54.25
2023-02-20T15:36:48.358112,9.719,19174.414,41.25
2023-02-20T15:36:49.368655,10.019,18788.906,51.0
2023-02-20T15:36:50.379176,9.525,18705.117,51.75
2023-02-20T15:36:51.389290,9.531,18950.625,50.75
2023-02-20T15:36:52.399811,10.45,18992.906,41.75
2023-02-20T15:36:53.410009,9.281,19077.098,55.75
2023-02-20T15:36:54.420993,9.519,19040.961,44.75
2023-02-20T15:36:55.431486,10.144,19053.207,41.5
2023-02-20T15:36:56.441766,9.956,18964.445,55.0
2023-02-20T15:36:57.452449,9.588,18856.863,44.25
2023-02-20T15:36:58.462115,9.656,18878.734,41.25
2023-02-20T15:36:59.472343,8.969,19035.285,36.0
2023-02-20T15:37:00.482721,5.631,19035.285,35.75
2023-02-20T15:37:01.493580,5.625,19035.324,36.25
2023-02-20T15:37:02.504128,5.631,19035.324,36.5
2023-02-20T15:37:03.514109,6.931,19035.312,39.0
2023-02-20T15:37:04.524362,9.963,18993.266,41.75
2023-02-20T15:37:05.534564,9.65,18825.289,39.75
2023-02-20T15:37:06.545100,10.144,18866.824,38.25
2023-02-20T15:37:07.555855,9.956,18879.383,37.5
2023-02-20T15:37:08.566114,10.081,18903.516,52.25
2023-02-20T15:37:09.576172,9.838,19107.207,41.75
2023-02-20T15:37:10.586301,10.331,18975.098,40.0
2023-02-20T15:37:11.596348,9.713,18848.691,41.25
2023-02-20T15:37:12.606124,9.531,18861.336,45.75
2023-02-20T15:37:13.616341,10.269,19077.191,42.5
2023-02-20T15:37:14.626327,9.656,19029.188,54.5
2023-02-20T15:37:15.636367,9.775,18963.293,58.75
2023-02-20T15:37:16.646444,9.281,18783.336,39.0
2023-02-20T15:37:17.656521,9.9,19119.125,39.75
2023-02-20T15:37:18.666135,7.369,19173.008,37.0
2023-02-20T15:37:19.676314,6.062,19173.055,37.25
2023-02-20T15:37:20.686333,5.819,19173.055,38.25
2023-02-20T15:37:21.696226,5.444,19173.055,36.25
2023-02-20T15:37:22.706110,7.362,19262.984,40.5
2023-02-20T15:37:23.715058,9.912,19106.695,49.75
2023-02-20T15:37:24.724658,9.781,19124.945,56.75
2023-02-20T15:37:25.734106,10.275,19034.949,39.75
2023-02-20T15:37:26.744466,10.081,19173.223,38.0
2023-02-20T15:37:27.754864,10.637,19029.285,53.25
2023-02-20T15:37:28.765012,10.088,18885.172,45.0
2023-02-20T15:37:29.775244,9.65,18909.367,59.5
2023-02-20T15:37:30.785636,10.144,18981.484,40.5
2023-02-20T15:37:31.795956,10.637,19037.359,64.25
2023-02-20T15:37:32.805950,10.15,19059.211,38.75
2023-02-20T15:37:33.816491,9.775,19341.195,45.5
2023-02-20T15:37:34.826555,10.025,18729.312,40.0
2023-02-20T15:37:35.836592,9.9,19035.523,42.25
2023-02-20T15:37:36.846396,9.225,18921.488,37.5
2023-02-20T15:37:37.856470,5.075,18921.488,38.5
2023-02-20T15:37:38.866108,5.075,18921.488,44.75
2023-02-20T15:37:39.876164,5.263,18921.535,36.5
2023-02-20T15:37:40.886152,6.744,19029.242,49.5
2023-02-20T15:37:41.896151,10.088,18962.969,45.25
2023-02-20T15:37:42.906119,10.275,19023.195,39.5
2023-02-20T15:37:43.916154,10.706,18903.008,40.75
2023-02-20T15:37:44.926121,10.519,18945.359,40.0
2023-02-20T15:37:45.936211,10.644,19011.242,56.25
2023-02-20T15:37:46.946107,9.838,18981.207,51.5
2023-02-20T15:37:47.956208,9.406,19113.422,61.5
2023-02-20T15:37:48.966122,10.338,18867.328,39.75
2023-02-20T15:37:49.976171,10.025,18993.723,41.75
2023-02-20T15:37:50.986123,10.213,19035.227,50.75
2023-02-20T15:37:51.996260,9.775,19146.059,46.5
2023-02-20T15:37:53.006108,9.594,19125.148,52.25
2023-02-20T15:37:54.016470,9.281,19005.266,41.75
2023-02-20T15:37:55.026500,9.656,19028.969,51.5
2023-02-20T15:37:56.036969,7.112,19137.16,40.75
2023-02-20T15:37:57.047069,5.938,19137.207,37.5
2023-02-20T15:37:58.057048,5.319,19137.207,37.25
2023-02-20T15:37:59.067370,5.569,19137.207,35.5
2023-02-20T15:38:00.077385,7.981,18890.66,53.75
2023-02-20T15:38:01.087423,9.65,19118.871,40.25
2023-02-20T15:38:02.097634,10.644,19047.039,40.0
2023-02-20T15:38:03.108121,10.081,19167.129,41.75
2023-02-20T15:38:04.118291,10.206,18987.125,39.25
2023-02-20T15:38:05.128807,9.713,19193.512,53.75
2023-02-20T15:38:06.139178,9.713,19071.379,42.5
2023-02-20T15:38:07.149520,10.019,19119.238,41.25
2023-02-20T15:38:08.160585,9.644,19077.148,41.25
2023-02-20T15:38:09.171228,10.575,19130.93,41.75
2023-02-20T15:38:10.180416,10.344,18933.09,45.25
2023-02-20T15:38:11.190480,10.025,19000.457,47.75
2023-02-20T15:38:12.200591,10.269,19083.242,51.75
2023-02-20T15:38:13.210112,10.094,18939.254,39.75
2023-02-20T15:38:14.220019,9.406,19095.258,39.25
2023-02-20T15:38:15.230365,5.75,19095.258,41.25
2023-02-20T15:38:16.240497,5.875,19095.258,37.0
2023-02-20T15:38:17.251654,5.994,19095.258,37.25
2023-02-20T15:38:18.261758,5.506,19053.281,35.25
2023-02-20T15:38:19.271870,9.963,18885.09,40.5
2023-02-20T15:38:20.282110,9.65,19268.727,44.0
2023-02-20T15:38:21.292207,9.531,19148.895,42.5
2023-02-20T15:38:22.302561,9.838,19106.914,44.25
2023-02-20T15:38:23.312758,9.469,19215.004,41.75
2023-02-20T15:38:24.323659,10.325,18855.477,40.25
2023-02-20T15:38:25.334143,10.575,18921.148,48.25
2023-02-20T15:38:26.344480,10.206,19040.895,49.5
2023-02-20T15:38:27.354104,9.906,19125.211,41.0
2023-02-20T15:38:28.364258,10.088,18933.297,40.75
2023-02-20T15:38:29.374111,10.025,18807.301,42.0
2023-02-20T15:38:30.384336,10.456,18789.176,39.0
2023-02-20T15:38:31.394104,10.275,18855.176,44.5
2023-02-20T15:38:32.404147,10.025,18854.02,42.5
2023-02-20T15:38:33.414592,7.669,18818.992,38.5
2023-02-20T15:38:34.424755,5.506,18818.992,37.25
2023-02-20T15:38:35.434876,5.569,18818.992,44.75
2023-02-20T15:38:36.445061,5.256,18819.039,36.0
2023-02-20T15:38:37.455235,4.144,18041.461,60.25
2023-02-20T15:38:38.464555,6.375,18041.461,61.0
2023-02-20T15:38:39.474109,6.25,18041.484,59.0
2023-02-20T15:38:40.484029,6.312,18041.484,50.5
2023-02-20T15:38:41.494083,6.438,18041.484,46.75
2023-02-20T15:38:42.504152,6.25,18041.484,51.5
2023-02-20T15:38:43.514122,6.438,18000.195,50.5
2023-02-20T15:38:44.524192,6.25,18000.195,58.5
2023-02-20T15:38:45.534112,6.312,18000.195,60.75
2023-02-20T15:38:46.544074,6.312,18000.195,58.75
2023-02-20T15:38:47.554116,6.312,18000.195,61.25
2023-02-20T15:38:48.564188,6.312,18000.195,58.0
2023-02-20T15:38:49.574222,6.312,18000.195,71.0
2023-02-20T15:38:50.584008,15.656,18303.285,66.5
2023-02-20T15:38:51.594252,8.169,18453.812,40.0
2023-02-20T15:38:52.604448,7.981,18514.059,40.25
2023-02-20T15:38:53.614709,7.919,18567.684,51.5
2023-02-20T15:38:54.625193,7.794,18573.527,39.5
2023-02-20T15:38:55.635363,7.981,18615.293,39.5
2023-02-20T15:38:56.645515,8.044,18621.723,40.75
2023-02-20T15:38:57.655596,7.737,18567.887,41.5
2023-02-20T15:38:58.666020,8.162,18627.719,40.5
2023-02-20T15:38:59.676466,7.794,18567.59,45.5
2023-02-20T15:39:00.686109,7.987,18567.746,38.75
2023-02-20T15:39:01.696313,8.169,18621.574,38.0
2023-02-20T15:39:02.706113,7.981,18687.539,41.75
2023-02-20T15:39:03.716261,8.044,18669.738,38.75
2023-02-20T15:39:04.726123,7.981,18645.871,44.0
2023-02-20T15:39:05.736475,7.981,18610.066,41.75
2023-02-20T15:39:06.746111,8.231,18657.855,39.0
2023-02-20T15:39:07.756714,8.225,18735.715,40.25
2023-02-20T15:39:08.767335,7.794,18700.055,38.0
2023-02-20T15:39:09.777737,8.106,18627.957,39.25
2023-02-20T15:39:10.787972,7.856,18652.035,41.75
2023-02-20T15:39:11.798121,8.169,18676.051,41.75
2023-02-20T15:39:12.808777,7.975,18718.07,42.0
2023-02-20T15:39:13.818956,8.106,18652.188,37.25
2023-02-20T15:39:14.829234,7.794,18616.027,53.0
2023-02-20T15:39:15.839514,8.044,18705.934,41.5
2023-02-20T15:39:16.849954,8.1,18609.949,43.0
2023-02-20T15:39:17.860784,7.912,18567.91,37.75
2023-02-20T15:39:18.871301,7.919,18705.84,39.0
2023-02-20T15:39:19.881834,8.1,18711.766,38.5
2023-02-20T15:39:20.892449,8.225,18687.977,40.25
2023-02-20T15:39:21.903212,8.1,18646.215,39.75
2023-02-20T15:39:22.913370,7.981,18592.105,41.5
2023-02-20T15:39:23.923650,7.919,18604.078,49.75
2023-02-20T15:39:24.934106,8.162,18658.051,41.75
2023-02-20T15:39:25.944062,7.856,18627.871,38.0
2023-02-20T15:39:26.954103,8.169,18628.027,40.0
2023-02-20T15:39:27.964192,8.106,18568.402,38.75
2023-02-20T15:39:28.975137,8.344,18717.77,39.75
2023-02-20T15:39:29.985325,8.231,18705.652,40.75
2023-02-20T15:39:30.995348,7.981,18597.543,40.25
2023-02-20T15:39:32.005385,6.806,18639.555,61.75
2023-02-20T15:39:33.015381,6.312,18639.555,61.5
2023-02-20T15:39:34.025428,5.756,18639.555,41.25
2023-02-20T15:39:35.035645,5.444,18639.555,43.75
2023-02-20T15:39:36.046026,5.444,18639.555,37.75
2023-02-20T15:39:37.056310,5.138,18639.555,42.5
2023-02-20T15:39:38.066327,5.444,18585.445,39.75
2023-02-20T15:39:39.076620,8.169,18597.324,39.0
2023-02-20T15:39:40.087097,8.1,18669.527,39.0
2023-02-20T15:39:41.097294,8.106,18591.797,39.75
2023-02-20T15:39:42.107368,8.044,18549.918,42.75
2023-02-20T15:39:43.117403,8.294,18609.855,39.5
2023-02-20T15:39:44.127788,8.162,18675.785,41.0
2023-02-20T15:39:45.137903,8.044,18706.105,43.0
2023-02-20T15:39:46.148183,8.106,18670.289,40.0
2023-02-20T15:39:47.158119,8.169,18591.945,40.25
2023-02-20T15:39:48.168578,8.1,18544.223,38.75
2023-02-20T15:39:49.178127,8.05,18568.164,38.25
2023-02-20T15:39:50.187439,8.05,18562.047,39.5
2023-02-20T15:39:51.197722,8.106,18592.109,50.25
2023-02-20T15:39:52.208187,7.981,18586.094,40.75
2023-02-20T15:39:53.218104,7.981,18567.887,41.5
2023-02-20T15:39:54.228255,8.044,18609.848,37.25
2023-02-20T15:39:55.238110,8.294,18681.895,40.0
2023-02-20T15:39:56.248157,7.981,18622.219,39.5
2023-02-20T15:39:57.258114,8.044,18681.551,40.5
2023-02-20T15:39:58.268378,8.106,18676.105,40.75
2023-02-20T15:39:59.278651,8.044,18711.992,40.0
2023-02-20T15:40:00.289170,7.981,18675.836,40.25
2023-02-20T15:40:01.299470,8.225,18706.191,40.5
2023-02-20T15:40:02.309596,7.919,18700.043,40.5
2023-02-20T15:40:03.319878,7.981,18676.094,38.75
2023-02-20T15:40:04.330019,7.919,18634.125,39.0
2023-02-20T15:40:05.340206,8.044,18544.234,40.5
2023-02-20T15:40:06.350531,7.731,18591.891,41.25
2023-02-20T15:40:07.361585,7.912,18615.992,39.5
2023-02-20T15:40:08.371933,7.981,18616.328,39.5
2023-02-20T15:40:09.382116,8.231,18646.246,40.75
2023-02-20T15:40:10.392219,7.981,18628.371,46.75
2023-02-20T15:40:11.402106,7.862,18604.707,46.5
2023-02-20T15:40:12.412180,7.919,18585.934,39.0
2023-02-20T15:40:13.422105,7.919,18586.008,40.25
2023-02-20T15:40:14.432133,8.294,18618.664,63.25
2023-02-20T15:40:15.442107,7.919,18657.898,40.5
2023-02-20T15:40:16.452311,7.919,18609.859,39.5
2023-02-20T15:40:17.462750,8.162,18651.777,40.75
2023-02-20T15:40:18.472990,7.856,18639.996,41.25
2023-02-20T15:40:19.483293,6.375,18634.051,39.5
2023-02-20T15:40:20.493435,5.506,18634.051,38.0
2023-02-20T15:40:21.503744,5.444,18634.051,37.0
2023-02-20T15:40:22.513764,5.444,18634.051,37.0
2023-02-20T15:40:23.523783,6.0,18592.098,38.75
2023-02-20T15:40:24.534155,8.044,18621.895,37.75
2023-02-20T15:40:25.544306,8.231,18621.992,39.25
2023-02-20T15:40:26.554116,8.169,18658.082,41.25
2023-02-20T15:40:27.564184,7.794,18694.062,41.75
2023-02-20T15:40:28.574125,8.044,18658.227,40.25
2023-02-20T15:40:29.584475,8.225,18777.766,58.0
2023-02-20T15:40:30.594838,8.106,18813.672,39.75
2023-02-20T15:40:31.605155,7.981,18753.742,41.75
2023-02-20T15:40:32.615292,8.169,18826.176,41.0
2023-02-20T15:40:33.625656,8.044,18874.094,40.25
2023-02-20T15:40:34.636053,8.106,18813.98,40.5
2023-02-20T15:40:35.646603,7.919,18880.215,41.75
2023-02-20T15:40:36.657071,7.731,18856.328,41.75
2023-02-20T15:40:37.667381,7.919,18760.688,42.0
2023-02-20T15:40:38.677702,8.169,18802.133,39.0
2023-02-20T15:40:39.688075,7.919,18759.934,41.25
2023-02-20T15:40:40.698143,8.169,18862.324,39.75
2023-02-20T15:40:41.708514,7.731,18844.285,41.5
2023-02-20T15:40:42.718796,8.044,18718.645,40.25
2023-02-20T15:40:43.729099,8.106,18712.594,39.0
2023-02-20T15:40:44.739248,8.044,18634.328,39.75
2023-02-20T15:40:45.750082,8.037,18634.266,41.25
2023-02-20T15:40:46.760346,7.856,18640.422,40.5
2023-02-20T15:40:47.770112,7.925,18646.641,41.25
2023-02-20T15:40:48.780294,8.044,18604.93,39.0
2023-02-20T15:40:49.790548,8.169,18676.602,39.0
2023-02-20T15:40:50.800829,8.169,18640.086,39.75
2023-02-20T15:40:51.811302,8.037,18634.289,40.0
2023-02-20T15:40:52.822106,8.037,18706.262,39.75
