timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/02/22 10:33:58.532, NVIDIA GeForce RTX 3070, 0 %, 2 %, 8192 MiB, 7319 MiB, 23.43 W, 240.00 W, 41
2023/02/22 10:33:59.534, NVIDIA GeForce RTX 3070, 0 %, 2 %, 8192 MiB, 7319 MiB, 23.29 W, 240.00 W, 41
2023/02/22 10:34:00.535, NVIDIA GeForce RTX 3070, 0 %, 4 %, 8192 MiB, 7319 MiB, 23.11 W, 240.00 W, 40
2023/02/22 10:34:01.537, NVIDIA GeForce RTX 3070, 0 %, 12 %, 8192 MiB, 7319 MiB, 23.14 W, 240.00 W, 41
2023/02/22 10:34:02.538, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 42.11 W, 240.00 W, 42
2023/02/22 10:34:03.539, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.85 W, 240.00 W, 43
2023/02/22 10:34:04.540, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.87 W, 240.00 W, 43
2023/02/22 10:34:05.541, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.92 W, 240.00 W, 43
2023/02/22 10:34:06.542, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.97 W, 240.00 W, 43
2023/02/22 10:34:07.543, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.88 W, 240.00 W, 43
2023/02/22 10:34:08.544, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.87 W, 240.00 W, 43
2023/02/22 10:34:09.545, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.84 W, 240.00 W, 43
2023/02/22 10:34:10.546, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.90 W, 240.00 W, 43
2023/02/22 10:34:11.547, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.99 W, 240.00 W, 43
2023/02/22 10:34:12.548, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 55.01 W, 240.00 W, 44
2023/02/22 10:34:13.549, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 55.01 W, 240.00 W, 44
2023/02/22 10:34:14.550, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 55.02 W, 240.00 W, 44
2023/02/22 10:34:15.551, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.96 W, 240.00 W, 44
2023/02/22 10:34:16.552, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7319 MiB, 54.99 W, 240.00 W, 44
2023/02/22 10:34:17.553, NVIDIA GeForce RTX 3070, 55 %, 33 %, 8192 MiB, 7319 MiB, 69.58 W, 240.00 W, 49
2023/02/22 10:34:18.554, NVIDIA GeForce RTX 3070, 54 %, 31 %, 8192 MiB, 7319 MiB, 120.82 W, 240.00 W, 50
2023/02/22 10:34:19.555, NVIDIA GeForce RTX 3070, 55 %, 33 %, 8192 MiB, 7319 MiB, 121.98 W, 240.00 W, 51
2023/02/22 10:34:20.556, NVIDIA GeForce RTX 3070, 56 %, 33 %, 8192 MiB, 7319 MiB, 124.75 W, 240.00 W, 51
2023/02/22 10:34:21.557, NVIDIA GeForce RTX 3070, 58 %, 34 %, 8192 MiB, 7319 MiB, 125.83 W, 240.00 W, 52
