timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-03-06T03:25:55.366272,0.0,19608.004,54.25
2023-03-06T03:25:56.377811,6.55,19523.512,58.5
2023-03-06T03:25:57.387941,6.312,19523.512,45.5
2023-03-06T03:25:58.398061,1.669,19475.594,38.0
2023-03-06T03:25:59.408231,1.544,19475.602,35.5
2023-03-06T03:26:00.419214,2.225,19475.625,36.25
2023-03-06T03:26:01.429563,1.05,19475.633,35.5
2023-03-06T03:26:02.439911,5.694,19475.691,59.75
2023-03-06T03:26:03.449294,16.038,19689.629,48.75
2023-03-06T03:26:04.459422,7.731,19985.906,42.25
2023-03-06T03:26:05.470232,8.037,20127.625,45.75
2023-03-06T03:26:06.480563,8.044,20047.766,48.75
2023-03-06T03:26:07.490856,7.425,20031.918,61.5
2023-03-06T03:26:08.500697,6.931,19953.906,53.25
2023-03-06T03:26:09.511593,8.656,20067.668,41.5
2023-03-06T03:26:10.522126,8.35,20055.469,46.25
2023-03-06T03:26:11.532592,8.044,20325.484,38.25
2023-03-06T03:26:12.543151,8.412,20307.906,41.75
2023-03-06T03:26:13.552887,8.356,20217.887,45.0
2023-03-06T03:26:14.562976,7.856,20542.066,49.25
2023-03-06T03:26:15.572628,8.231,20196.309,46.75
2023-03-06T03:26:16.583295,8.35,20333.801,59.25
2023-03-06T03:26:17.593899,7.919,20397.941,60.5
2023-03-06T03:26:18.603879,4.644,20397.941,36.5
2023-03-06T03:26:19.614018,2.969,20397.945,36.0
2023-03-06T03:26:20.624263,3.156,20397.945,36.75
2023-03-06T03:26:21.634127,2.906,20397.945,37.0
2023-03-06T03:26:22.644160,2.725,20397.945,36.25
2023-03-06T03:26:23.654255,6.062,20425.191,58.25
2023-03-06T03:26:24.664651,8.225,20541.922,47.5
2023-03-06T03:26:25.675310,7.731,20482.043,40.25
2023-03-06T03:26:26.685813,8.35,20517.691,39.25
2023-03-06T03:26:27.695145,8.481,20020.031,41.0
2023-03-06T03:26:28.704640,8.481,20326.633,42.0
2023-03-06T03:26:29.715516,7.912,20380.094,44.75
2023-03-06T03:26:30.725635,7.237,20086.156,44.25
2023-03-06T03:26:31.735944,8.169,20199.844,54.5
2023-03-06T03:26:32.746340,8.044,20254.109,56.5
2023-03-06T03:26:33.756598,8.169,20163.594,56.25
2023-03-06T03:26:34.766843,8.412,20343.812,57.5
2023-03-06T03:26:35.776637,8.294,20253.656,45.0
2023-03-06T03:26:36.786816,8.169,20301.426,45.0
2023-03-06T03:26:37.796904,4.394,20361.574,36.75
2023-03-06T03:26:38.807267,2.781,20361.574,37.0
2023-03-06T03:26:39.817325,2.969,20361.574,36.0
2023-03-06T03:26:40.827429,2.844,20361.574,36.0
2023-03-06T03:26:41.837513,2.844,20361.52,36.25
2023-03-06T03:26:42.847621,8.231,19999.496,38.75
2023-03-06T03:26:43.857898,9.094,20205.383,41.5
2023-03-06T03:26:44.868103,8.106,20457.582,44.25
2023-03-06T03:26:45.878504,7.487,20307.684,57.25
2023-03-06T03:26:46.888635,7.794,20301.645,45.25
2023-03-06T03:26:47.898778,7.487,20307.688,41.5
2023-03-06T03:26:48.909183,8.719,20343.273,54.25
2023-03-06T03:26:49.919491,7.981,20236.012,54.5
2023-03-06T03:26:50.930171,8.594,20343.07,41.0
2023-03-06T03:26:51.940633,8.719,20319.488,45.75
2023-03-06T03:26:52.950900,8.287,20559.402,43.5
2023-03-06T03:26:53.960641,8.912,20170.117,42.0
2023-03-06T03:26:54.970556,7.919,20457.68,57.25
2023-03-06T03:26:55.980636,8.475,20433.5,48.5
2023-03-06T03:26:56.990918,3.525,20421.617,36.5
2023-03-06T03:26:58.000642,2.788,20421.617,36.75
2023-03-06T03:26:59.010739,2.788,20421.617,38.75
2023-03-06T03:27:00.020617,2.844,20421.617,37.5
2023-03-06T03:27:01.030202,3.469,20421.875,37.75
2023-03-06T03:27:02.040630,8.719,20091.426,40.75
2023-03-06T03:27:03.050972,8.725,20343.516,46.0
2023-03-06T03:27:04.060641,8.606,20117.008,42.0
2023-03-06T03:27:05.071042,8.35,20193.559,42.75
2023-03-06T03:27:06.080638,8.419,20249.207,46.0
2023-03-06T03:27:07.091397,7.669,20355.98,54.5
2023-03-06T03:27:08.100643,8.606,20175.758,41.75
2023-03-06T03:27:09.111140,7.731,20163.559,38.5
2023-03-06T03:27:10.120629,8.419,20211.289,57.5
2023-03-06T03:27:11.130769,8.044,20349.348,42.25
2023-03-06T03:27:12.140768,8.537,20241.902,59.25
2023-03-06T03:27:13.150895,8.662,20199.836,46.25
2023-03-06T03:27:14.160633,8.294,20133.906,62.0
2023-03-06T03:27:15.170837,8.662,20206.117,39.75
2023-03-06T03:27:16.181166,2.844,20206.164,38.0
2023-03-06T03:27:17.191541,3.094,20206.164,37.25
2023-03-06T03:27:18.201852,2.906,20206.164,37.25
2023-03-06T03:27:19.212296,3.094,20206.164,36.75
2023-03-06T03:27:20.222624,4.019,20296.086,41.5
2023-03-06T03:27:21.233819,7.912,20114.043,61.5
2023-03-06T03:27:22.244066,7.919,20236.016,41.25
2023-03-06T03:27:23.253804,7.987,20319.512,60.5
2023-03-06T03:27:24.263153,7.556,20260.16,43.5
2023-03-06T03:27:25.272628,7.369,20127.836,44.0
2023-03-06T03:27:26.282978,8.412,20139.914,48.25
2023-03-06T03:27:27.292665,8.169,20283.641,41.75
2023-03-06T03:27:28.303116,8.225,20433.805,55.75
2023-03-06T03:27:29.312644,8.113,20493.746,48.5
2023-03-06T03:27:30.322727,8.85,20223.684,58.5
2023-03-06T03:27:31.332640,7.55,20516.754,48.25
2023-03-06T03:27:32.342868,8.225,20566.0,62.0
2023-03-06T03:27:33.353164,8.169,20212.012,59.75
2023-03-06T03:27:34.363345,6.438,20356.492,39.25
2023-03-06T03:27:35.373441,2.725,20356.492,38.0
2023-03-06T03:27:36.383527,3.156,20356.492,39.0
2023-03-06T03:27:37.393803,3.031,20356.492,37.25
2023-03-06T03:27:38.404133,3.094,20356.492,37.25
2023-03-06T03:27:39.414513,5.319,20301.758,43.5
2023-03-06T03:27:40.424637,7.981,20224.051,55.0
2023-03-06T03:27:41.433960,8.481,20235.793,46.0
2023-03-06T03:27:42.444151,8.6,20207.066,42.0
2023-03-06T03:27:43.454679,8.412,20433.641,45.0
2023-03-06T03:27:44.464651,8.356,20343.648,55.0
2023-03-06T03:27:45.475077,8.044,20319.203,45.0
2023-03-06T03:27:46.485155,7.794,20391.359,52.0
2023-03-06T03:27:47.495286,7.981,20421.879,41.0
2023-03-06T03:27:48.505971,8.531,20277.738,51.25
2023-03-06T03:27:49.516127,8.044,20145.961,42.25
2023-03-06T03:27:50.526688,8.225,20211.156,44.5
2023-03-06T03:27:51.536632,8.294,20253.953,48.5
2023-03-06T03:27:52.546715,8.294,20230.168,43.5
2023-03-06T03:27:53.556629,5.631,20391.984,38.75
2023-03-06T03:27:54.566771,2.6,20392.023,38.75
2023-03-06T03:27:55.576788,2.844,20392.023,38.0
2023-03-06T03:27:56.587048,2.906,20392.023,37.75
2023-03-06T03:27:57.597194,2.725,20392.023,37.25
2023-03-06T03:27:58.607435,6.806,20405.559,62.5
2023-03-06T03:27:59.617910,7.856,20199.652,43.5
2023-03-06T03:28:00.628280,7.3,20326.281,42.75
2023-03-06T03:28:01.638553,7.856,20260.168,56.0
2023-03-06T03:28:02.648632,8.294,20409.883,57.25
