timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/06 18:40:01.068, NVIDIA GeForce RTX 3070, 0 %, 18 %, 8192 MiB, 7331 MiB, 23.64 W, 240.00 W, 41
2023/03/06 18:40:02.070, NVIDIA GeForce RTX 3070, 0 %, 75 %, 8192 MiB, 7331 MiB, 23.08 W, 240.00 W, 41
2023/03/06 18:40:03.072, NVIDIA GeForce RTX 3070, 0 %, 1 %, 8192 MiB, 7331 MiB, 25.18 W, 240.00 W, 41
2023/03/06 18:40:04.074, NVIDIA GeForce RTX 3070, 0 %, 1 %, 8192 MiB, 7331 MiB, 25.04 W, 240.00 W, 41
2023/03/06 18:40:05.076, NVIDIA GeForce RTX 3070, 1 %, 0 %, 8192 MiB, 7331 MiB, 55.36 W, 240.00 W, 43
2023/03/06 18:40:06.077, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7331 MiB, 55.25 W, 240.00 W, 43
2023/03/06 18:40:07.078, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7331 MiB, 55.31 W, 240.00 W, 43
2023/03/06 18:40:08.079, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7331 MiB, 55.02 W, 240.00 W, 43
2023/03/06 18:40:09.080, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7331 MiB, 55.56 W, 240.00 W, 43
2023/03/06 18:40:10.082, NVIDIA GeForce RTX 3070, 1 %, 0 %, 8192 MiB, 7331 MiB, 55.60 W, 240.00 W, 43
2023/03/06 18:40:11.083, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7331 MiB, 55.31 W, 240.00 W, 43
2023/03/06 18:40:12.084, NVIDIA GeForce RTX 3070, 78 %, 54 %, 8192 MiB, 7331 MiB, 159.34 W, 240.00 W, 51
2023/03/06 18:40:13.085, NVIDIA GeForce RTX 3070, 78 %, 55 %, 8192 MiB, 7331 MiB, 158.85 W, 240.00 W, 53
2023/03/06 18:40:14.086, NVIDIA GeForce RTX 3070, 78 %, 54 %, 8192 MiB, 7331 MiB, 156.91 W, 240.00 W, 53
2023/03/06 18:40:15.090, NVIDIA GeForce RTX 3070, 77 %, 53 %, 8192 MiB, 7331 MiB, 160.14 W, 240.00 W, 54
2023/03/06 18:40:16.092, NVIDIA GeForce RTX 3070, 79 %, 56 %, 8192 MiB, 7331 MiB, 165.28 W, 240.00 W, 54
2023/03/06 18:40:17.093, NVIDIA GeForce RTX 3070, 78 %, 55 %, 8192 MiB, 7331 MiB, 160.15 W, 240.00 W, 55
2023/03/06 18:40:18.094, NVIDIA GeForce RTX 3070, 77 %, 53 %, 8192 MiB, 7331 MiB, 159.77 W, 240.00 W, 55
2023/03/06 18:40:19.095, NVIDIA GeForce RTX 3070, 79 %, 56 %, 8192 MiB, 7331 MiB, 164.09 W, 240.00 W, 55
2023/03/06 18:40:20.096, NVIDIA GeForce RTX 3070, 78 %, 54 %, 8192 MiB, 7331 MiB, 160.95 W, 240.00 W, 55
2023/03/06 18:40:21.097, NVIDIA GeForce RTX 3070, 79 %, 55 %, 8192 MiB, 7331 MiB, 163.62 W, 240.00 W, 55
2023/03/06 18:40:22.099, NVIDIA GeForce RTX 3070, 77 %, 53 %, 8192 MiB, 7331 MiB, 159.14 W, 240.00 W, 56
2023/03/06 18:40:23.100, NVIDIA GeForce RTX 3070, 79 %, 55 %, 8192 MiB, 7331 MiB, 161.38 W, 240.00 W, 56
2023/03/06 18:40:24.101, NVIDIA GeForce RTX 3070, 79 %, 55 %, 8192 MiB, 7331 MiB, 163.79 W, 240.00 W, 56
2023/03/06 18:40:25.102, NVIDIA GeForce RTX 3070, 79 %, 55 %, 8192 MiB, 7331 MiB, 164.14 W, 240.00 W, 56
2023/03/06 18:40:26.106, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7331 MiB, 69.77 W, 240.00 W, 50
2023/03/06 18:40:27.108, NVIDIA GeForce RTX 3070, 88 %, 65 %, 8192 MiB, 7331 MiB, 188.12 W, 240.00 W, 58
2023/03/06 18:40:28.109, NVIDIA GeForce RTX 3070, 89 %, 66 %, 8192 MiB, 7331 MiB, 187.80 W, 240.00 W, 58
2023/03/06 18:40:29.110, NVIDIA GeForce RTX 3070, 90 %, 67 %, 8192 MiB, 7331 MiB, 186.03 W, 240.00 W, 58
2023/03/06 18:40:30.111, NVIDIA GeForce RTX 3070, 90 %, 67 %, 8192 MiB, 7331 MiB, 187.09 W, 240.00 W, 59
2023/03/06 18:40:31.112, NVIDIA GeForce RTX 3070, 45 %, 33 %, 8192 MiB, 7331 MiB, 83.06 W, 240.00 W, 57
