timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-03-04T09:43:06.399228,0.0,15054.742,49.0
2023-03-04T09:43:07.409866,3.094,15063.219,37.25
2023-03-04T09:43:08.420000,1.238,15063.223,34.75
2023-03-04T09:43:09.430214,1.731,15063.246,35.25
2023-03-04T09:43:10.440614,1.238,15063.262,34.5
2023-03-04T09:43:11.451199,13.175,15342.652,63.0
2023-03-04T09:43:12.461279,6.0,15750.285,39.5
2023-03-04T09:43:13.471496,5.938,15995.859,43.5
2023-03-04T09:43:14.480649,6.131,15870.578,41.25
2023-03-04T09:43:15.491039,6.062,15984.238,38.0
2023-03-04T09:43:16.500962,5.819,16141.164,43.75
2023-03-04T09:43:17.511091,5.569,15930.598,40.0
2023-03-04T09:43:18.520649,5.756,16068.668,39.5
2023-03-04T09:43:19.529830,5.638,16158.453,39.75
2023-03-04T09:43:20.539921,5.819,16314.57,37.5
2023-03-04T09:43:21.550107,5.938,16176.496,40.5
2023-03-04T09:43:22.560554,5.875,15930.664,39.5
2023-03-04T09:43:23.571188,5.938,16163.648,36.75
2023-03-04T09:43:24.581548,5.938,16147.242,57.0
2023-03-04T09:43:25.592707,5.688,16115.871,51.0
2023-03-04T09:43:26.602897,5.569,15995.984,38.25
2023-03-04T09:43:27.612643,6.069,16074.113,38.5
2023-03-04T09:43:28.623055,5.812,16152.32,40.5
2023-03-04T09:43:29.632628,3.712,16260.168,36.5
2023-03-04T09:43:30.642735,1.3,16260.168,35.0
2023-03-04T09:43:31.652779,1.238,16260.168,35.0
2023-03-04T09:43:32.662692,1.3,16260.207,35.25
2023-03-04T09:43:33.672623,1.3,16260.207,36.0
2023-03-04T09:43:34.682573,1.238,16260.207,35.0
2023-03-04T09:43:35.692503,1.3,16260.207,35.5
2023-03-04T09:43:36.702474,5.263,16296.742,47.0
2023-03-04T09:43:37.712567,5.569,16356.652,38.25
2023-03-04T09:43:38.722738,5.569,16158.566,40.25
2023-03-04T09:43:39.732628,5.569,16092.676,38.5
2023-03-04T09:43:40.742938,5.506,16134.727,37.5
2023-03-04T09:43:41.752640,6.006,16063.156,39.75
