timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/04 11:29:49.542, NVIDIA GeForce RTX 3070, 0 %, 53 %, 8192 MiB, 7465 MiB, 23.84 W, 240.00 W, 41
2023/03/04 11:29:50.544, NVIDIA GeForce RTX 3070, 0 %, 44 %, 8192 MiB, 7465 MiB, 24.02 W, 240.00 W, 41
2023/03/04 11:29:51.546, NVIDIA GeForce RTX 3070, 0 %, 54 %, 8192 MiB, 7465 MiB, 23.64 W, 240.00 W, 41
2023/03/04 11:29:52.548, NVIDIA GeForce RTX 3070, 0 %, 52 %, 8192 MiB, 7465 MiB, 23.83 W, 240.00 W, 41
2023/03/04 11:29:53.550, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7465 MiB, 55.49 W, 240.00 W, 43
2023/03/04 11:29:54.552, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7465 MiB, 55.48 W, 240.00 W, 43
2023/03/04 11:29:55.553, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7465 MiB, 55.44 W, 240.00 W, 43
2023/03/04 11:29:56.554, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7465 MiB, 55.56 W, 240.00 W, 43
2023/03/04 11:29:57.556, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7465 MiB, 55.68 W, 240.00 W, 43
2023/03/04 11:29:58.558, NVIDIA GeForce RTX 3070, 88 %, 77 %, 8192 MiB, 7465 MiB, 235.80 W, 240.00 W, 57
2023/03/04 11:29:59.559, NVIDIA GeForce RTX 3070, 88 %, 76 %, 8192 MiB, 7465 MiB, 245.01 W, 240.00 W, 58
2023/03/04 11:30:00.560, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7465 MiB, 238.46 W, 240.00 W, 59
2023/03/04 11:30:01.562, NVIDIA GeForce RTX 3070, 86 %, 73 %, 8192 MiB, 7465 MiB, 229.21 W, 240.00 W, 59
2023/03/04 11:30:02.563, NVIDIA GeForce RTX 3070, 85 %, 74 %, 8192 MiB, 7465 MiB, 224.80 W, 240.00 W, 60
2023/03/04 11:30:03.567, NVIDIA GeForce RTX 3070, 86 %, 74 %, 8192 MiB, 7465 MiB, 226.50 W, 240.00 W, 60
2023/03/04 11:30:04.570, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7465 MiB, 231.26 W, 240.00 W, 61
2023/03/04 11:30:05.571, NVIDIA GeForce RTX 3070, 88 %, 76 %, 8192 MiB, 7465 MiB, 240.48 W, 240.00 W, 61
2023/03/04 11:30:06.573, NVIDIA GeForce RTX 3070, 88 %, 76 %, 8192 MiB, 7465 MiB, 238.41 W, 240.00 W, 61
2023/03/04 11:30:07.574, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7465 MiB, 238.42 W, 240.00 W, 62
2023/03/04 11:30:08.575, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7465 MiB, 228.51 W, 240.00 W, 62
2023/03/04 11:30:09.576, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7465 MiB, 231.96 W, 240.00 W, 62
2023/03/04 11:30:10.578, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7465 MiB, 232.40 W, 240.00 W, 63
2023/03/04 11:30:11.579, NVIDIA GeForce RTX 3070, 88 %, 76 %, 8192 MiB, 7465 MiB, 238.72 W, 240.00 W, 63
2023/03/04 11:30:12.580, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7465 MiB, 231.41 W, 240.00 W, 63
2023/03/04 11:30:13.585, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7465 MiB, 231.46 W, 240.00 W, 63
2023/03/04 11:30:14.587, NVIDIA GeForce RTX 3070, 89 %, 76 %, 8192 MiB, 7465 MiB, 237.26 W, 240.00 W, 64
2023/03/04 11:30:15.588, NVIDIA GeForce RTX 3070, 90 %, 80 %, 8192 MiB, 7465 MiB, 245.61 W, 240.00 W, 63
2023/03/04 11:30:16.589, NVIDIA GeForce RTX 3070, 95 %, 85 %, 8192 MiB, 7465 MiB, 241.51 W, 240.00 W, 64
2023/03/04 11:30:17.590, NVIDIA GeForce RTX 3070, 95 %, 85 %, 8192 MiB, 7465 MiB, 238.78 W, 240.00 W, 64
2023/03/04 11:30:18.592, NVIDIA GeForce RTX 3070, 96 %, 85 %, 8192 MiB, 7465 MiB, 236.37 W, 240.00 W, 64
2023/03/04 11:30:19.593, NVIDIA GeForce RTX 3070, 95 %, 85 %, 8192 MiB, 7465 MiB, 239.25 W, 240.00 W, 65
2023/03/04 11:30:20.594, NVIDIA GeForce RTX 3070, 95 %, 85 %, 8192 MiB, 7465 MiB, 239.60 W, 240.00 W, 65
