timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-02-28T07:52:58.915459,0.0,13612.426,39.0
2023-02-28T07:52:59.925984,6.062,13637.516,65.25
2023-02-28T07:53:00.935962,0.744,13641.699,32.5
2023-02-28T07:53:01.946102,1.544,13648.574,32.75
2023-02-28T07:53:02.956489,1.425,13648.586,31.75
2023-02-28T07:53:03.967275,2.038,13648.609,33.75
2023-02-28T07:53:04.977654,0.744,13648.617,31.5
2023-02-28T07:53:05.988277,5.688,13648.91,58.5
2023-02-28T07:53:06.997476,14.119,14125.613,49.0
2023-02-28T07:53:08.007630,7.112,14294.359,38.5
2023-02-28T07:53:09.017471,7.425,14611.984,61.25
2023-02-28T07:53:10.027545,7.794,14635.133,39.5
2023-02-28T07:53:11.037497,7.425,14510.566,54.5
2023-02-28T07:53:12.047907,6.925,14606.391,49.0
2023-02-28T07:53:13.058078,7.175,14533.949,37.0
2023-02-28T07:53:14.068392,7.3,14756.137,36.25
2023-02-28T07:53:15.078572,7.362,14732.164,47.0
2023-02-28T07:53:16.088648,7.175,14929.914,47.25
2023-02-28T07:53:17.098846,7.112,14684.148,57.25
2023-02-28T07:53:18.109209,6.744,14641.891,35.75
2023-02-28T07:53:19.119409,6.681,14534.551,38.25
2023-02-28T07:53:20.129473,7.056,14692.461,38.25
2023-02-28T07:53:21.139652,6.806,14660.121,39.0
2023-02-28T07:53:22.150065,6.431,14528.355,34.5
2023-02-28T07:53:23.160227,1.919,14528.355,34.25
2023-02-28T07:53:24.170228,1.794,14528.355,32.5
2023-02-28T07:53:25.180190,1.856,14528.355,32.25
2023-02-28T07:53:26.190158,1.794,14528.355,33.0
2023-02-28T07:53:27.200093,1.731,14528.355,33.0
2023-02-28T07:53:28.210060,5.694,14552.68,36.0
2023-02-28T07:53:29.220394,6.619,14636.828,56.0
2023-02-28T07:53:30.230670,6.987,14654.512,38.25
2023-02-28T07:53:31.241095,6.869,14636.383,41.0
2023-02-28T07:53:32.251319,7.175,14600.051,39.5
2023-02-28T07:53:33.261980,7.419,14783.316,42.75
2023-02-28T07:53:34.272027,7.056,14894.508,38.75
2023-02-28T07:53:35.281501,7.056,14846.297,37.5
2023-02-28T07:53:36.292044,7.112,14738.543,37.25
2023-02-28T07:53:37.301473,7.244,14768.316,42.75
2023-02-28T07:53:38.311865,6.681,14876.547,42.5
2023-02-28T07:53:39.321478,7.244,14780.793,38.75
2023-02-28T07:53:40.332074,7.05,14630.641,54.25
2023-02-28T07:53:41.341516,6.75,14805.57,55.0
2023-02-28T07:53:42.352210,6.987,14601.051,38.5
2023-02-28T07:53:43.362616,2.106,14594.953,33.5
2023-02-28T07:53:44.372689,1.794,14594.953,33.25
2023-02-28T07:53:45.382648,1.731,14594.953,33.0
2023-02-28T07:53:46.392606,1.794,14594.953,34.0
2023-02-28T07:53:47.402480,1.794,14594.953,33.25
2023-02-28T07:53:48.412423,4.825,14732.699,35.0
2023-02-28T07:53:49.422630,7.112,14810.672,38.75
2023-02-28T07:53:50.432977,7.3,14630.613,37.5
2023-02-28T07:53:51.443337,6.556,14901.648,37.5
2023-02-28T07:53:52.453546,7.112,14595.125,38.0
2023-02-28T07:53:53.464456,6.862,14828.941,38.25
2023-02-28T07:53:54.474872,6.987,14660.855,38.5
2023-02-28T07:53:55.485114,6.994,14578.559,37.5
2023-02-28T07:53:56.495450,6.556,14924.023,43.75
2023-02-28T07:53:57.505495,7.237,14756.801,52.75
2023-02-28T07:53:58.515436,6.744,14649.238,40.25
2023-02-28T07:53:59.525482,6.931,14840.754,38.5
2023-02-28T07:54:00.535810,7.237,14654.797,43.5
2023-02-28T07:54:01.546102,7.112,14877.078,38.5
2023-02-28T07:54:02.556464,7.487,14780.629,38.0
2023-02-28T07:54:03.566495,2.788,14570.711,33.5
2023-02-28T07:54:04.576710,1.981,14570.711,33.25
2023-02-28T07:54:05.586864,2.044,14570.711,33.0
2023-02-28T07:54:06.596797,1.981,14570.711,33.5
2023-02-28T07:54:07.606860,2.044,14570.711,33.5
2023-02-28T07:54:08.617036,3.9,14647.949,44.75
2023-02-28T07:54:09.627183,6.312,14756.688,40.25
2023-02-28T07:54:10.637472,7.425,14756.82,41.0
2023-02-28T07:54:11.647553,6.5,14774.816,53.25
2023-02-28T07:54:12.657484,7.056,14542.559,37.25
2023-02-28T07:54:13.667951,6.806,14601.121,41.25
2023-02-28T07:54:14.677469,6.931,14606.547,44.5
2023-02-28T07:54:15.687625,6.619,14454.492,53.0
2023-02-28T07:54:16.697470,6.869,14636.508,39.75
2023-02-28T07:54:17.707569,7.237,14810.383,52.25
2023-02-28T07:54:18.717734,7.175,14792.445,54.25
2023-02-28T07:54:19.728033,6.931,14565.031,38.5
2023-02-28T07:54:20.737475,7.369,14692.949,43.5
2023-02-28T07:54:21.747541,7.487,14534.688,38.25
2023-02-28T07:54:22.758715,6.987,14552.852,40.5
2023-02-28T07:54:23.769210,4.019,14564.32,34.25
2023-02-28T07:54:24.779415,1.794,14564.32,33.5
2023-02-28T07:54:25.789278,1.731,14564.32,33.75
2023-02-28T07:54:26.799204,1.794,14564.32,33.75
2023-02-28T07:54:27.809119,1.731,14564.32,33.75
2023-02-28T07:54:28.819080,3.65,14539.668,35.5
2023-02-28T07:54:29.829306,7.112,14612.453,40.75
2023-02-28T07:54:30.839350,6.806,15110.316,42.25
2023-02-28T07:54:31.849359,6.744,14816.289,40.75
2023-02-28T07:54:32.859630,7.425,14696.379,58.0
2023-02-28T07:54:33.869549,7.056,14702.445,39.0
2023-02-28T07:54:34.880162,7.05,14720.395,38.75
2023-02-28T07:54:35.890343,6.994,14678.633,38.25
2023-02-28T07:54:36.900711,6.931,15026.531,54.75
2023-02-28T07:54:37.910993,7.05,14990.426,37.0
2023-02-28T07:54:38.921453,7.425,14764.012,40.0
2023-02-28T07:54:39.932118,7.237,15096.199,58.75
2023-02-28T07:54:40.941481,7.244,14882.516,36.0
2023-02-28T07:54:41.951695,7.425,14852.762,40.0
2023-02-28T07:54:42.961483,7.056,14798.23,50.25
2023-02-28T07:54:43.971910,5.013,14739.105,35.5
2023-02-28T07:54:44.982091,2.044,14739.105,34.5
2023-02-28T07:54:45.992107,1.856,14739.105,34.25
2023-02-28T07:54:47.002029,1.731,14739.105,34.25
2023-02-28T07:54:48.011941,1.856,14739.105,34.25
2023-02-28T07:54:49.021475,2.35,14757.043,38.5
2023-02-28T07:54:50.031644,6.744,15068.176,37.75
2023-02-28T07:54:51.041872,7.175,14966.781,48.0
2023-02-28T07:54:52.051330,7.119,14930.586,41.5
2023-02-28T07:54:53.061483,6.744,14834.781,42.75
2023-02-28T07:54:54.071544,6.806,14972.98,49.5
2023-02-28T07:54:55.081670,6.931,15068.418,45.0
2023-02-28T07:54:56.091900,6.869,15062.398,39.5
2023-02-28T07:54:57.101470,7.181,14906.953,48.5
2023-02-28T07:54:58.111592,6.619,15122.934,41.25
2023-02-28T07:54:59.121503,7.181,15044.863,43.25
2023-02-28T07:55:00.131725,6.994,14985.176,37.5
2023-02-28T07:55:01.141522,6.562,15110.875,40.25
2023-02-28T07:55:02.150760,7.494,14876.324,47.0
2023-02-28T07:55:03.161043,7.425,14503.16,39.0
2023-02-28T07:55:04.171617,5.131,14678.535,35.0
2023-02-28T07:55:05.181735,1.731,14678.535,35.25
2023-02-28T07:55:06.191685,1.731,14678.535,34.75
2023-02-28T07:55:07.201627,1.731,14678.535,34.75
2023-02-28T07:55:08.211539,1.731,14678.535,34.5
2023-02-28T07:55:09.221447,1.731,14678.527,34.5
2023-02-28T07:55:10.231427,6.0,14817.227,39.25
