timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/02/27 15:25:05.598, NVIDIA GeForce RTX 3070, 0 %, 73 %, 8192 MiB, 7390 MiB, 23.41 W, 240.00 W, 40
2023/02/27 15:25:06.603, NVIDIA GeForce RTX 3070, 0 %, 55 %, 8192 MiB, 7390 MiB, 23.45 W, 240.00 W, 40
2023/02/27 15:25:07.608, NVIDIA GeForce RTX 3070, 0 %, 35 %, 8192 MiB, 7390 MiB, 23.62 W, 240.00 W, 40
2023/02/27 15:25:08.612, NVIDIA GeForce RTX 3070, 0 %, 43 %, 8192 MiB, 7390 MiB, 24.02 W, 240.00 W, 40
2023/02/27 15:25:09.617, NVIDIA GeForce RTX 3070, 2 %, 0 %, 8192 MiB, 7390 MiB, 40.58 W, 240.00 W, 42
2023/02/27 15:25:10.619, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7390 MiB, 55.22 W, 240.00 W, 42
2023/02/27 15:25:11.621, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7390 MiB, 55.16 W, 240.00 W, 43
2023/02/27 15:25:12.623, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7390 MiB, 55.29 W, 240.00 W, 43
2023/02/27 15:25:13.625, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7390 MiB, 55.32 W, 240.00 W, 43
2023/02/27 15:25:14.627, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7390 MiB, 55.47 W, 240.00 W, 43
2023/02/27 15:25:15.629, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7390 MiB, 55.58 W, 240.00 W, 43
2023/02/27 15:25:16.632, NVIDIA GeForce RTX 3070, 81 %, 55 %, 8192 MiB, 7390 MiB, 142.10 W, 240.00 W, 52
2023/02/27 15:25:17.634, NVIDIA GeForce RTX 3070, 79 %, 54 %, 8192 MiB, 7390 MiB, 164.72 W, 240.00 W, 53
2023/02/27 15:25:18.636, NVIDIA GeForce RTX 3070, 81 %, 55 %, 8192 MiB, 7390 MiB, 164.84 W, 240.00 W, 53
2023/02/27 15:25:19.638, NVIDIA GeForce RTX 3070, 79 %, 54 %, 8192 MiB, 7390 MiB, 165.01 W, 240.00 W, 54
2023/02/27 15:25:20.640, NVIDIA GeForce RTX 3070, 82 %, 55 %, 8192 MiB, 7390 MiB, 168.09 W, 240.00 W, 55
2023/02/27 15:25:21.643, NVIDIA GeForce RTX 3070, 81 %, 55 %, 8192 MiB, 7390 MiB, 164.88 W, 240.00 W, 55
2023/02/27 15:25:22.645, NVIDIA GeForce RTX 3070, 79 %, 54 %, 8192 MiB, 7390 MiB, 164.32 W, 240.00 W, 55
2023/02/27 15:25:23.646, NVIDIA GeForce RTX 3070, 79 %, 54 %, 8192 MiB, 7390 MiB, 164.98 W, 240.00 W, 55
2023/02/27 15:25:24.646, NVIDIA GeForce RTX 3070, 79 %, 53 %, 8192 MiB, 7390 MiB, 165.27 W, 240.00 W, 56
2023/02/27 15:25:25.647, NVIDIA GeForce RTX 3070, 80 %, 54 %, 8192 MiB, 7390 MiB, 166.74 W, 240.00 W, 56
2023/02/27 15:25:26.648, NVIDIA GeForce RTX 3070, 82 %, 56 %, 8192 MiB, 7390 MiB, 167.04 W, 240.00 W, 56
2023/02/27 15:25:27.649, NVIDIA GeForce RTX 3070, 78 %, 53 %, 8192 MiB, 7390 MiB, 166.87 W, 240.00 W, 56
2023/02/27 15:25:28.649, NVIDIA GeForce RTX 3070, 81 %, 55 %, 8192 MiB, 7390 MiB, 166.85 W, 240.00 W, 56
2023/02/27 15:25:29.650, NVIDIA GeForce RTX 3070, 80 %, 54 %, 8192 MiB, 7390 MiB, 166.17 W, 240.00 W, 56
2023/02/27 15:25:30.651, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7390 MiB, 127.93 W, 240.00 W, 52
2023/02/27 15:25:31.652, NVIDIA GeForce RTX 3070, 91 %, 65 %, 8192 MiB, 7390 MiB, 179.21 W, 240.00 W, 58
2023/02/27 15:25:32.653, NVIDIA GeForce RTX 3070, 91 %, 65 %, 8192 MiB, 7390 MiB, 187.99 W, 240.00 W, 58
2023/02/27 15:25:33.653, NVIDIA GeForce RTX 3070, 91 %, 65 %, 8192 MiB, 7390 MiB, 188.50 W, 240.00 W, 58
2023/02/27 15:25:34.654, NVIDIA GeForce RTX 3070, 91 %, 64 %, 8192 MiB, 7390 MiB, 188.50 W, 240.00 W, 59
2023/02/27 15:25:35.655, NVIDIA GeForce RTX 3070, 91 %, 64 %, 8192 MiB, 7390 MiB, 188.32 W, 240.00 W, 59
2023/02/27 15:25:36.656, NVIDIA GeForce RTX 3070, 80 %, 54 %, 8192 MiB, 7390 MiB, 158.78 W, 240.00 W, 57
2023/02/27 15:25:37.657, NVIDIA GeForce RTX 3070, 82 %, 55 %, 8192 MiB, 7390 MiB, 167.41 W, 240.00 W, 58
2023/02/27 15:25:38.658, NVIDIA GeForce RTX 3070, 81 %, 55 %, 8192 MiB, 7390 MiB, 168.75 W, 240.00 W, 58
2023/02/27 15:25:39.659, NVIDIA GeForce RTX 3070, 81 %, 55 %, 8192 MiB, 7390 MiB, 168.10 W, 240.00 W, 58
2023/02/27 15:25:40.660, NVIDIA GeForce RTX 3070, 81 %, 54 %, 8192 MiB, 7390 MiB, 168.18 W, 240.00 W, 58
2023/02/27 15:25:41.661, NVIDIA GeForce RTX 3070, 79 %, 53 %, 8192 MiB, 7390 MiB, 167.29 W, 240.00 W, 58
2023/02/27 15:25:42.662, NVIDIA GeForce RTX 3070, 80 %, 54 %, 8192 MiB, 7390 MiB, 168.04 W, 240.00 W, 58
2023/02/27 15:25:43.663, NVIDIA GeForce RTX 3070, 81 %, 55 %, 8192 MiB, 7390 MiB, 166.90 W, 240.00 W, 58
2023/02/27 15:25:44.664, NVIDIA GeForce RTX 3070, 79 %, 53 %, 8192 MiB, 7390 MiB, 167.89 W, 240.00 W, 58
2023/02/27 15:25:45.665, NVIDIA GeForce RTX 3070, 81 %, 54 %, 8192 MiB, 7390 MiB, 168.93 W, 240.00 W, 58
2023/02/27 15:25:46.666, NVIDIA GeForce RTX 3070, 79 %, 53 %, 8192 MiB, 7390 MiB, 167.65 W, 240.00 W, 58
2023/02/27 15:25:47.667, NVIDIA GeForce RTX 3070, 80 %, 54 %, 8192 MiB, 7390 MiB, 168.18 W, 240.00 W, 58
2023/02/27 15:25:48.668, NVIDIA GeForce RTX 3070, 78 %, 52 %, 8192 MiB, 7390 MiB, 166.43 W, 240.00 W, 58
2023/02/27 15:25:49.669, NVIDIA GeForce RTX 3070, 82 %, 54 %, 8192 MiB, 7390 MiB, 169.21 W, 240.00 W, 59
2023/02/27 15:25:50.670, NVIDIA GeForce RTX 3070, 85 %, 58 %, 8192 MiB, 7390 MiB, 172.17 W, 240.00 W, 60
2023/02/27 15:25:51.671, NVIDIA GeForce RTX 3070, 92 %, 65 %, 8192 MiB, 7390 MiB, 187.36 W, 240.00 W, 60
2023/02/27 15:25:52.673, NVIDIA GeForce RTX 3070, 91 %, 65 %, 8192 MiB, 7390 MiB, 187.46 W, 240.00 W, 60
2023/02/27 15:25:53.674, NVIDIA GeForce RTX 3070, 91 %, 64 %, 8192 MiB, 7390 MiB, 187.14 W, 240.00 W, 60
2023/02/27 15:25:54.675, NVIDIA GeForce RTX 3070, 92 %, 65 %, 8192 MiB, 7390 MiB, 187.16 W, 240.00 W, 61
2023/02/27 15:25:55.676, NVIDIA GeForce RTX 3070, 67 %, 47 %, 8192 MiB, 7390 MiB, 176.47 W, 240.00 W, 58
2023/02/27 15:25:56.677, NVIDIA GeForce RTX 3070, 81 %, 54 %, 8192 MiB, 7390 MiB, 162.66 W, 240.00 W, 59
2023/02/27 15:25:57.679, NVIDIA GeForce RTX 3070, 81 %, 54 %, 8192 MiB, 7390 MiB, 166.60 W, 240.00 W, 59
2023/02/27 15:25:58.680, NVIDIA GeForce RTX 3070, 80 %, 54 %, 8192 MiB, 7390 MiB, 166.24 W, 240.00 W, 59
2023/02/27 15:25:59.681, NVIDIA GeForce RTX 3070, 81 %, 54 %, 8192 MiB, 7390 MiB, 167.39 W, 240.00 W, 59
2023/02/27 15:26:00.683, NVIDIA GeForce RTX 3070, 81 %, 54 %, 8192 MiB, 7390 MiB, 167.99 W, 240.00 W, 59
2023/02/27 15:26:01.684, NVIDIA GeForce RTX 3070, 81 %, 55 %, 8192 MiB, 7390 MiB, 166.91 W, 240.00 W, 59
2023/02/27 15:26:02.685, NVIDIA GeForce RTX 3070, 79 %, 53 %, 8192 MiB, 7390 MiB, 167.24 W, 240.00 W, 59
2023/02/27 15:26:03.686, NVIDIA GeForce RTX 3070, 80 %, 54 %, 8192 MiB, 7390 MiB, 166.58 W, 240.00 W, 60
2023/02/27 15:26:04.688, NVIDIA GeForce RTX 3070, 81 %, 54 %, 8192 MiB, 7390 MiB, 167.40 W, 240.00 W, 60
2023/02/27 15:26:05.689, NVIDIA GeForce RTX 3070, 83 %, 56 %, 8192 MiB, 7390 MiB, 167.24 W, 240.00 W, 60
2023/02/27 15:26:06.691, NVIDIA GeForce RTX 3070, 78 %, 52 %, 8192 MiB, 7390 MiB, 166.81 W, 240.00 W, 59
2023/02/27 15:26:07.692, NVIDIA GeForce RTX 3070, 82 %, 55 %, 8192 MiB, 7390 MiB, 167.87 W, 240.00 W, 59
2023/02/27 15:26:08.693, NVIDIA GeForce RTX 3070, 79 %, 53 %, 8192 MiB, 7390 MiB, 167.00 W, 240.00 W, 60
2023/02/27 15:26:09.695, NVIDIA GeForce RTX 3070, 78 %, 51 %, 8192 MiB, 7390 MiB, 165.81 W, 240.00 W, 60
